name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Sarah Wozniewicz,241,OTT,F,9,157.98333333333332,2,1,1,3,2,2.3673989034653835,1.1393606920561241,1.262661932012266,0.1799404085559302,0.32338518937688054,0.5091584771817329,0.0,0.0,0.0,0.8991070843417429,-0.032338518937688056,0.8667685654040549,0.913,-0.085,0.828,1.678,-0.008,1.67,0.372,-0.002,0.37,0.141,0.262,-0.0292,4.508,2025-26
Hilary Knight,13,SEA,F,14,285.1,3,6,1,-2,4,2.7311971842447145,-0.42090494563311115,0.6532783231827849,-0.20679351706468851,-0.06334873624373813,0.4488275570097946,0.0,0.0,0.0,0.5747872011739139,0.0063348736243738135,0.5811220747982877,0.107,0.03,0.137,1.486,0.169,1.655,0.33,0.037,0.367,0.077,0.262,-0.0292,4.508,2025-26
Jenn Gardiner,198,VAN,F,14,251.61666666666667,3,2,3,-3,0,2.653218042311261,-0.71537391534742,0.7809074003975053,-0.04110656616059327,0.10233821466035711,0.5241173680431338,0.0,0.0,0.0,0.6326809930662078,-0.010233821466035712,0.6224471716001722,0.337,-0.043,0.294,1.554,0.08,1.634,0.345,0.018,0.363,0.087,0.262,-0.0292,4.508,2025-26
Jill Saulnier,149,BOS,F,12,149.41666666666666,1,3,0,1,8,2.138863563430734,0.4015616285554936,0.6381568773318985,-0.4321695762336405,-0.28872479541269014,0.4890567507619902,0.0,0.0,0.0,0.8588855357892518,0.028872479541269015,0.8877580153305208,0.764,0.072,0.836,1.486,0.145,1.631,0.33,0.032,0.362,0.145,0.262,-0.0292,4.508,2025-26
Maggie Connors,66,TOR,F,14,187.23333333333335,1,0,1,-3,2,2.2985160952755113,-0.9613672779063556,0.6675237565843374,-0.29907033615035705,-0.15562555532940667,0.4826928958693229,0.0,0.0,0.0,0.7365727205796546,0.015562555532940668,0.7521352761125952,0.575,0.049,0.624,1.481,0.14,1.621,0.329,0.031,0.36,0.115,0.262,-0.0292,4.508,2025-26
Casey O'Brien,280,NY,F,16,317.7833333333333,4,4,3,-3,0,2.8511326856088766,-0.5664236639219595,0.622975629705376,-0.13941725191939125,0.004027528901559135,0.502283105022831,0.0,0.0,0.0,0.538316340703412,-0.00040275289015591353,0.5379135878132562,-0.074,-0.002,-0.076,1.463,0.153,1.616,0.325,0.034,0.359,0.068,0.262,-0.0292,4.508,2025-26
Michela Cava,115,OTT,F,3,40.53333333333333,0,1,0,1,0,1.648547193628,1.480263157894737,0.4697612084525501,-1.7958586041305167,-1.6524138233095662,0.6923076923076923,0.0,0.0,0.0,2.4402836747782897,0.16524138233095664,2.6055250571092463,1.275,0.112,1.387,1.472,0.131,1.603,0.327,0.029,0.356,0.527,0.262,-0.0292,4.508,2025-26
Emma Maltais,73,TOR,F,5,91.03333333333333,1,0,2,-2,2,2.002464573983044,-1.3181984621017944,2.0027217780701503,0.6269185355780122,0.7703633163989626,0.5838926174496645,0.0,0.0,0.0,1.3198228609188865,-0.07703633163989626,1.2427865292789901,1.165,-0.117,1.048,1.605,-0.073,1.532,0.356,-0.016,0.34,0.224,0.262,-0.0292,4.508,2025-26
Mannon McMahon,220,VAN,F,3,26.68333333333333,0,0,0,0,0,1.4916411591026832,0.0,0.09496828324162035,-3.105677720677534,-2.962232939856584,0.6071428571428571,0.0,0.0,0.0,3.354096297794916,0.2962232939856584,3.6503195917805744,1.246,0.132,1.378,1.375,0.145,1.52,0.305,0.032,0.337,0.758,0.262,-0.0292,4.508,2025-26
Paetyn Levis,40,NY,F,4,65.48333333333333,0,2,0,2,4,1.8135177250163241,1.8325273606515653,2.547131126528516,0.7181740342430611,0.8616188150640115,0.4663026716254589,0.0,0.0,0.0,1.6616604250594977,-0.08616188150640115,1.5754985435530966,1.211,-0.094,1.117,1.528,-0.062,1.466,0.339,-0.014,0.325,0.298,0.262,-0.0292,4.508,2025-26
