name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,FA60,FA60_resid,d_adj_FA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Hannah Brandt,1,BOS,F,13,151.85,0,0,1,-1,2,0.769987815602821,-0.39512676983865663,0.5534724303980624,-0.05049612795134817,0.11980325479973708,0.4257425742574257,3.951267698386566,3.682730422658838,0.1473092169063535,0.3042427983942658,-0.020415339813278394,0.28382745858098746,-0.674,-0.052,-0.726,0.129,1.106,1.235,0.029,0.245,0.274,0.108,0.2532,-0.4572,4.508,2025-26
Jamie Lee Rattray,16,BOS,F,8,128.54999999999998,1,2,1,0,0,1.3139892397639126,0.0,0.8968640801944889,0.035291207931305024,0.20559059068239027,0.4890567507619902,0.9334889148191367,0.6649516390914085,0.02659806556365634,0.6132971947556185,-0.26122876139169,0.3520684333639285,0.091,-0.56,-0.469,0.772,0.42,1.192,0.171,0.093,0.264,0.123,0.2532,-0.4572,4.508,2025-26
Hayley Scamurra,61,MTL,F,3,45.583333333333336,0,1,1,0,10,1.6157792811191898,0.0,2.822793770170355,0.3657264593896814,0.5360258421407667,0.351063829787234,0.0,-0.5306285935890049,-0.021225143743560198,2.1268027100654785,-0.7716613227406335,1.355141387324845,1.182,-0.586,0.596,1.423,-0.239,1.184,0.316,-0.053,0.263,0.346,0.2532,-0.4572,4.508,2025-26
Theresa Schafzahl,17,BOS,F,11,167.56666666666666,1,2,1,4,0,1.19302288778431,1.4322657648697037,0.6822116135468369,0.00418910423029295,0.1744884869813782,0.4890567507619902,1.0741993236522778,0.8056620479245498,0.03222648191698199,0.4271814597198644,-0.21205739985694746,0.2151240598629169,-0.401,-0.592,-0.993,0.486,0.685,1.171,0.108,0.152,0.26,0.093,0.2532,-0.4572,4.508,2025-26
Mariah Keopple,99,SEA,D,13,201.1,0,0,2,-1,0,0.37795930348782525,-0.29835902536051717,0.6935683587110232,-0.19672981482804708,-0.02643043207696183,0.49572222805211874,0.5967180507210343,-0.7477817414365222,-0.02991126965746089,0.11276756941456746,0.007091335250285671,0.11985890466485313,-1.535,0.024,-1.511,-0.471,1.556,1.085,-0.104,0.345,0.241,0.072,0.2532,-0.4572,4.508,2025-26
Emma Maltais,73,TOR,F,5,91.03333333333333,1,0,2,-2,2,2.017110309651549,-1.3181984621017944,1.9603678061944674,0.46317221552856847,0.6334715982796537,0.5838926174496645,1.3181984621017944,1.247442623365426,0.049897704934617045,1.329475854036173,-0.836962532656898,0.49251332137927506,1.151,-1.27,-0.119,1.633,-0.576,1.057,0.362,-0.128,0.234,0.154,0.2532,-0.4572,4.508,2025-26
Michela Cava,115,VAN,F,13,188.85,1,3,1,-2,4,1.6414467339123087,-0.6354249404289118,0.7703196687792299,0.15076036290503347,0.3210597456561187,0.6923076923076923,1.5885623510722795,1.3556977866324205,0.05422791146529682,0.5215080965567302,-0.39525573245326934,0.1262523641034609,-0.155,-1.244,-1.399,0.845,0.195,1.04,0.187,0.043,0.23,0.073,0.2532,-0.4572,4.508,2025-26
Lyndie Lobdell,294,SEA,D,10,127.11666666666667,0,1,1,-2,2,0.2630259079665144,-0.9440146846728726,0.6256053845372489,-0.31087063782810487,-0.14057125507701962,0.4488275570097946,0.0,-1.3444997921575566,-0.053779991686302264,0.12415015978490257,0.1430197654215252,0.2671699252064278,-0.946,0.303,-0.643,-0.273,1.272,0.999,-0.061,0.282,0.221,0.104,0.2532,-0.4572,4.508,2025-26
Katy Knoll,191,MIN,F,15,207.01666666666668,6,0,0,3,8,1.4942298613904244,0.8694952097254648,0.6003523556266614,0.07049972764446122,0.24079911039554647,0.6956521739130435,0.0,-0.36539969799138305,-0.014615987919655323,0.43307523556923977,-0.3517347424734204,0.08134049309581937,-0.475,-1.214,-1.689,0.621,0.364,0.985,0.138,0.081,0.219,0.063,0.2532,-0.4572,4.508,2025-26
Sidney Morin,167,MIN,D,7,142.15,0,3,2,0,0,1.2380031815380406,0.0,1.3558413233244344,0.06141107942662094,0.2317104621777062,0.49572222805211874,1.6883573689764333,0.2995910265632808,0.011983641062531232,0.522547948591505,-0.3124110059862574,0.21013694260524762,-0.114,-0.74,-0.854,0.638,0.343,0.981,0.142,0.076,0.218,0.092,0.2532,-0.4572,4.508,2025-26
Jamie Lee Rattray,16,BOS,F,6,84.98333333333332,2,1,0,-2,2,1.3139892397639126,-1.412041576779761,1.3566410375642466,0.18499534085315372,0.35529472360423897,0.4890567507619902,1.412041576779761,1.143504301052033,0.04574017204208132,0.9277037189939372,-0.45167244100385323,0.476031277990084,0.506,-0.64,-0.134,0.955,0.008,0.963,0.212,0.002,0.214,0.151,0.2532,-0.4572,4.508,2025-26
Jaime Bourbonnais,87,NY,D,9,178.58333333333331,1,0,4,2,4,0.9721900051910682,0.6719552029864677,1.0674976771260634,-0.03371911158812746,0.1365802711629578,0.49572222805211874,0.0,-0.6888708594422538,-0.027554834377690154,0.3266340661397896,-0.21876721400583105,0.10786685213395858,-0.726,-0.651,-1.377,0.219,0.71,0.929,0.049,0.157,0.206,0.069,0.2532,-0.4572,4.508,2025-26
Mannon McMahon,220,OTT,F,11,155.51666666666665,1,0,0,-2,6,1.4712188492679426,-0.7716214767977709,0.8540458820022606,0.12554195161307902,0.29584133436416427,0.6071428571428571,0.0,-0.01110739199268318,-0.0004442956797073272,0.5676120305824235,-0.41462216378953726,0.15298986679288623,-0.008,-1.075,-1.083,0.815,0.11,0.925,0.181,0.024,0.205,0.079,0.2532,-0.4572,4.508,2025-26
Kiara Zanon,317,TOR,F,16,206.46666666666667,1,0,1,-5,0,1.1641940336379513,-1.4530190506942202,0.6090056685660957,0.023588543733410683,0.19388792648449593,0.49572222805211874,0.0,-0.07075583873636826,-0.0028302335494547306,0.3383192219160982,-0.274273330627749,0.0640458912883492,-0.8,-0.944,-1.744,0.293,0.63,0.923,0.065,0.14,0.205,0.06,0.2532,-0.4572,4.508,2025-26
Brooke Becker,264,MIN,D,10,139.56666666666666,0,0,0,-2,2,0.5019228728252524,-0.8598041557200861,0.800596685059379,-0.19129173969721125,-0.020992356946126,0.49572222805211874,0.0,-1.3887663424131524,-0.0555506536965261,0.21577768595305813,-0.0261613539719497,0.18961633198110844,-0.826,-0.061,-0.887,-0.087,1.003,0.916,-0.019,0.222,0.203,0.087,0.2532,-0.4572,4.508,2025-26
Sara Hjalmarsson,313,TOR,F,3,26.5,0,0,0,-1,2,1.2852224779884411,-2.2641509433962264,3.749387971625411,0.5667344263363918,0.7370338090874771,0.4137931034482758,0.0,-0.07075583873636826,-0.0028302335494547306,2.909937686011565,-1.0346775662719225,1.8752601197396426,1.033,-0.457,0.576,1.173,-0.255,0.918,0.26,-0.057,0.203,0.46,0.2532,-0.4572,4.508,2025-26
Lauren Bernard,207,NY,D,12,159.78333333333333,0,0,1,0,0,0.5492756569172866,0.0,0.8656087393402289,-0.13881827030374094,0.031481112447344306,0.4663026716254589,0.0,-0.6888708594422538,-0.027554834377690154,0.20625767861710984,-0.07162839180397218,0.13462928681313766,-0.971,-0.191,-1.162,-0.125,1.027,0.902,-0.028,0.228,0.2,0.075,0.2532,-0.4572,4.508,2025-26
Tereza Vanišová,161,VAN,F,11,178.18333333333334,0,2,1,0,2,1.7008169905453272,0.0,0.9651081359559586,0.16968576387449152,0.3399851466255768,0.5241173680431338,0.0,-0.232864564439859,-0.009314582577594361,0.5727192185916357,-0.4852937878534018,0.08742543073823383,0.006,-1.441,-1.435,0.949,-0.083,0.866,0.211,-0.018,0.193,0.065,0.2532,-0.4572,4.508,2025-26
Emma Gentry,244,TOR,F,3,36.3,0,0,0,0,0,1.3567099190244194,0.0,3.0094528557427473,0.5615799816475779,0.7318793643986632,0.5164835164835165,0.0,-0.07075583873636826,-0.0028302335494547306,2.24249573392466,-1.0274613437075832,1.2150343902170768,1.011,-0.622,0.389,1.204,-0.345,0.859,0.267,-0.077,0.19,0.314,0.2532,-0.4572,4.508,2025-26
Klára Hymlárová,190,MIN,F,15,180.54999999999998,1,1,1,0,4,1.004997400789994,0.0,0.5997582261471671,0.006282441671685457,0.1765818244227707,0.4791666666666667,0.0,-0.36539969799138305,-0.014615987919655323,0.3339786432976995,-0.2618305421115343,0.07214810118616521,-0.712,-0.788,-1.5,0.243,0.588,0.831,0.054,0.13,0.184,0.061,0.2532,-0.4572,4.508,2025-26
Emily Brown,2,SEA,D,11,209.88333333333333,0,0,1,-1,0,0.33589153923978166,-0.2858731041054554,0.8240111384858491,-0.04977263436537527,0.12052674838570998,0.49572222805211874,4.002223457476376,2.6577236653188194,0.10630894661275278,0.09602235696523576,-0.06242850112724119,0.03359385583799457,-1.66,-0.218,-1.878,-0.55,1.381,0.831,-0.122,0.306,0.184,0.053,0.2532,-0.4572,4.508,2025-26
Anna Shokhina,239,OTT,F,9,107.23333333333333,1,2,0,-3,2,1.049513936976688,-1.6785825303077402,0.8839993607687991,0.06311496935493388,0.23341435210601913,0.5091584771817329,0.0,-0.01110739199268318,-0.0004442956797073272,0.5872319199745223,-0.3272243886281341,0.2600075313463882,0.03,-0.585,-0.555,0.597,0.232,0.829,0.132,0.051,0.183,0.102,0.2532,-0.4572,4.508,2025-26
Fanuza Kadirova,240,OTT,F,9,131.83333333333334,3,1,0,-1,8,1.2963652376962922,-0.4551201011378002,0.9524513051388296,0.12883513600779517,0.2991345187588804,0.5091584771817329,0.0,-0.01110739199268318,-0.0004442956797073272,0.5900018780918649,-0.4192326219421399,0.170769256149725,0.042,-0.921,-0.879,0.74,0.084,0.824,0.164,0.019,0.183,0.083,0.2532,-0.4572,4.508,2025-26
