name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Emily Clark,53,OTT,F,22,409.51666666666665,3,7,3,4,8,6.416200371924152,0.5860567335476782,1.2369140605101299,-0.22016623978659866,-0.11419284164226291,0.7272727272727273,0.5860567335476782,-0.3971408462258482,-0.01588563384903393,0.9400643579393165,-0.004466349684807637,0.9355980082545089,2.208,-0.03,2.178,4.149,0.288,4.437,0.908,0.063,0.971,0.142,0.3322,-0.0467,4.569,2023-24
Jamie Lee Rattray,16,BOS,F,23,369.4,2,5,3,-2,8,6.4059078050571125,-0.3248511099079589,1.7020610190179293,0.4549068630848676,0.5608802612292033,0.868421052631579,0.6497022198159178,-0.159642583973667,-0.006385703358946681,1.0404831302204298,-0.06247372948186701,0.9780094007385628,2.61,-0.385,2.225,4.361,-0.097,4.264,0.954,-0.021,0.933,0.152,0.3322,-0.0467,4.569,2023-24
Denisa Křížová,104,MIN,F,24,382.93333333333334,3,1,2,0,8,5.919538800630678,0.0,1.4156249035636574,-0.4324680587901817,-0.3264946606458459,0.574528702760077,0.15668523676880222,-0.5177797554927377,-0.02071119021970951,0.9275043385389294,0.011938275844875088,0.9394426143838045,1.984,0.076,2.06,3.799,0.374,4.173,0.831,0.082,0.913,0.143,0.3322,-0.0467,4.569,2023-24
Michela Cava,115,MIN,F,24,360.0833333333333,5,2,1,3,4,5.759103830006957,0.499884286044897,1.4161273161560668,-0.3579518942224744,-0.25197849607813866,0.6222222222222222,0.499884286044897,-0.1745807062166429,-0.006983228248665716,0.9596285021071533,0.01821462135914815,0.9778431234663015,2.059,0.109,2.168,3.765,0.389,4.154,0.824,0.085,0.909,0.151,0.3322,-0.0467,4.569,2023-24
Kristin O'Neill,30,MTL,F,21,390.5,4,0,5,-1,6,5.440773509797512,-0.15364916773367476,1.624880397872176,-0.46126961838809355,-0.3552962202437578,0.4285714285714285,2.151088348271447,0.5897423362173713,0.02358969344869485,0.8359703216078123,0.05911931547307063,0.8950896370808828,1.428,0.385,1.813,3.279,0.689,3.968,0.718,0.151,0.869,0.134,0.3322,-0.0467,4.569,2023-24
Gabbie Hughes,57,OTT,F,22,411.54999999999995,9,0,3,3,18,5.676964920311224,0.43737091483416357,1.2202205736172318,-0.6077366922113314,-0.5017632940669957,0.5189393939393939,0.5831612197788848,-0.4000363599946416,-0.016001454399785665,0.8276464468926581,0.03417487500691391,0.8618213218995721,1.447,0.234,1.681,3.398,0.555,3.953,0.744,0.121,0.865,0.126,0.3322,-0.0467,4.569,2023-24
Susanna Tapani,78,BOS,F,16,332.21666666666664,2,2,4,8,6,5.712551561192957,1.4448402147193098,2.6838291078604595,0.4495498111109688,0.5555232092553045,0.4972972972972973,0.7224201073596549,-0.08692469642992992,-0.003476987857197197,1.031715528033645,-0.05902930878272765,0.9726862192509174,2.298,-0.327,1.971,3.873,-0.068,3.805,0.848,-0.015,0.833,0.15,0.3322,-0.0467,4.569,2023-24
Sidney Morin,167,BOS,D,23,428.0,1,0,3,-3,2,5.585330043883982,-0.4205607476635514,1.8717489705681758,-0.5522966826885405,-0.4463232845442047,0.5298394239166777,1.2616822429906542,-0.809909361134835,-0.0323963744453934,0.7829901930678479,0.012235954009027071,0.795226147076875,1.187,0.087,1.274,3.216,0.42,3.636,0.704,0.092,0.796,0.112,0.3322,-0.0467,4.569,2023-24
Tereza Vanišová,161,OTT,F,6,78.46666666666667,0,1,1,-2,21,3.826330557319911,-1.5293118096856413,5.651800761876585,0.22441760199450922,0.330391000138845,0.5105841929948152,2.293967714528462,1.3107701347549356,0.05243080539019743,2.9258262545351914,0.019391705376312927,2.9452179599115045,3.02,0.025,3.045,3.392,0.086,3.478,0.742,0.019,0.761,0.582,0.3322,-0.0467,4.569,2023-24
Alina Müller,15,BOS,F,23,455.5,5,8,3,7,6,5.948923450379852,0.9220636663007684,1.909121074261035,0.11589300258901081,0.22186640073334657,0.504,0.0,-0.8093448037895848,-0.0323737921515834,0.7836123095999805,-0.054560432224918055,0.7290518773750625,1.268,-0.414,0.854,3.427,-0.06,3.367,0.75,-0.013,0.737,0.097,0.3322,-0.0467,4.569,2023-24
Liz Schepers,97,MIN,F,19,234.7,0,2,1,0,8,3.985269049164334,0.0,1.6001108352755442,-0.750660768953622,-0.6446873708092863,0.4460093896713615,0.5112910097997444,-0.16317398246179549,-0.00652695929847182,1.0188161182354498,0.057941777782456814,1.0767578960179067,1.573,0.227,1.8,2.686,0.409,3.095,0.588,0.09,0.678,0.173,0.3322,-0.0467,4.569,2023-24
Loren Gabel,8,BOS,F,17,226.6,4,1,2,-1,2,4.004692685849252,-0.264783759929391,1.618059235211479,-0.5745753604699522,-0.4686019623256164,0.5308168796073996,0.0,-0.8093448037895848,-0.0323737921515834,1.0603775867208964,0.014486404080978246,1.0748639908018747,1.676,0.055,1.731,2.75,0.231,2.981,0.602,0.051,0.653,0.173,0.3322,-0.0467,4.569,2023-24
Kati Tabin,84,MTL,D,22,493.79999999999995,0,3,2,6,14,4.533190483976461,0.7290400972053465,1.5709881098876224,-0.5092451064314347,-0.40327170828709896,0.5105841929948152,3.159173754556501,0.3355809421665208,0.013423237686660832,0.5508129385147584,0.05375040851537073,0.6045633470301292,-0.542,0.442,-0.1,1.799,0.826,2.625,0.394,0.181,0.575,0.07,0.3322,-0.0467,4.569,2023-24
Jade Downie-Landry,35,NY,F,23,319.21666666666664,8,3,2,-8,18,3.9905281630972844,-1.503680885500966,1.6792992358897734,-0.09237879016460471,0.013594607979731041,0.4907975460122699,1.3157207748133453,0.6393101893754882,0.02557240757501953,0.7500601152378336,0.024212946777046426,0.77427306201488,0.71,0.129,0.839,2.223,0.377,2.6,0.487,0.083,0.57,0.107,0.3322,-0.0467,4.569,2023-24
Lexie Adzija,49,BOS,F,6,79.98333333333333,1,2,0,2,2,3.180999672366759,1.500312565117733,6.525947340439158,2.0648349738871605,2.1708083720314963,0.5277777777777778,0.7501562825588665,-0.059188521230718355,-0.0023675408492287342,2.38624688904362,-0.21944837805237838,2.1667985109912413,2.359,-0.293,2.066,2.738,-0.23,2.508,0.599,-0.05,0.549,0.412,0.3322,-0.0467,4.569,2023-24
Tereza Vanišová,161,MTL,F,16,262.7833333333333,2,3,3,0,16,3.826330557319911,0.0,1.6876183159075897,-0.24131790618597715,-0.1353445080416414,0.5105841929948152,0.6849749476755249,-0.8763710643785507,-0.03505484257514203,0.8736468577631561,-0.021520391770977886,0.8521264659921782,1.126,-0.094,1.032,2.371,0.11,2.481,0.519,0.024,0.543,0.124,0.3322,-0.0467,4.569,2023-24
Mikyla Grant-Mentis,138,OTT,F,6,77.85,0,2,1,0,0,2.726252849253632,0.0,2.9870957403896936,-0.07297832802526782,0.032995070119067924,0.8666666666666667,1.5414258188824665,0.5582282391089401,0.022329129564357605,2.1011582653207186,0.019029622552450814,2.1201878878731693,1.926,0.025,1.951,2.295,0.085,2.38,0.502,0.019,0.521,0.402,0.3322,-0.0467,4.569,2023-24
Mikyla Grant-Mentis,138,MTL,F,6,73.81666666666666,2,0,0,-1,4,2.726252849253632,-0.8128245653646422,3.1503102739580626,-0.1054807356767089,0.0004926624676268448,0.8666666666666667,1.6256491307292844,0.06430311867520877,0.002572124747008351,2.215965287268701,0.0025228585002456663,2.2184881457689465,1.968,0.003,1.971,2.318,0.061,2.379,0.507,0.013,0.52,0.423,0.3322,-0.0467,4.569,2023-24
Abby Boreen,114,MIN,F,9,148.91666666666666,4,0,1,2,4,2.9578978155666915,0.8058198097369894,1.5911014923442308,-0.7074913373416014,-0.6015179391972657,0.574528702760077,0.0,-0.6744649922615399,-0.026978599690461597,1.191766327480704,0.03317319422926498,1.224939521709969,1.427,0.082,1.509,2.133,0.198,2.331,0.467,0.043,0.51,0.205,0.3322,-0.0467,4.569,2023-24
Emma Maltais,73,TOR,F,23,432.3,5,6,7,9,14,4.453032465018034,1.2491325468424705,1.409749113263545,-0.022029910560566357,0.08394348758376939,0.5333333333333333,0.8327550312283136,-0.0980387709905582,-0.0039215508396223285,0.618047531577798,-0.012315899597999266,0.6057316319797987,0.01,-0.089,-0.079,2.06,0.248,2.308,0.451,0.054,0.505,0.07,0.3322,-0.0467,4.569,2023-24
Rebecca Leslie,72,TOR,F,23,243.1,2,2,3,1,10,3.3226764092719985,0.24681201151789386,1.373504610039805,-0.31225383241446325,-0.2062804342701275,0.5668242255597484,1.2340600575894694,0.30326625537059754,0.012130650214823901,0.8200764481954748,0.03275869364183665,0.8528351418373115,0.824,0.133,0.957,1.977,0.322,2.299,0.433,0.07,0.503,0.124,0.3322,-0.0467,4.569,2023-24
Brittany Howard,69,TOR,F,22,243.16666666666666,2,4,2,1,10,3.444093740680625,0.24674434544208362,1.526173152291306,-0.21027459505725354,-0.1043011969129178,0.5668242255597484,0.49348869088416725,-0.43730511133470457,-0.017492204453388182,0.8498106556854181,-0.007062084762096401,0.8427485709233218,0.945,-0.029,0.916,2.098,0.161,2.259,0.459,0.035,0.494,0.122,0.3322,-0.0467,4.569,2023-24
Hannah Brandt,1,BOS,F,23,403.75,5,1,3,-6,4,3.868952579123981,-0.891640866873065,1.9400743168520829,0.22992971013784458,0.33590310828218034,0.403030303030303,1.78328173374613,0.9739369299565451,0.03895747719826181,0.5749527052568145,0.005367166370043773,0.5803198716268583,-0.28,0.036,-0.244,1.634,0.35,1.984,0.358,0.077,0.435,0.065,0.3322,-0.0467,4.569,2023-24
Hannah Miller,89,TOR,F,22,331.35,7,4,3,6,8,3.8278328305189624,1.086464463558171,1.4010763899905945,0.30719363668061006,0.4131670348249458,0.7058823529411765,0.5432322317790855,-0.3875615704397863,-0.015502462817591451,0.6931340571333567,-0.05681916630008603,0.6363148908332708,0.423,-0.314,0.109,1.993,-0.056,1.937,0.436,-0.012,0.424,0.077,0.3322,-0.0467,4.569,2023-24
Sophie Shirley,18,BOS,F,19,245.31666666666666,3,1,1,-4,4,3.1441369104692973,-0.9783273320198382,1.9367083901550317,0.23816176897365815,0.3441351671179939,0.5298394239166777,0.4891636660099191,-0.3201811377796657,-0.01280724551118663,0.7689987687811312,-0.047220762222986025,0.7217780065581452,0.623,-0.193,0.43,1.786,-0.002,1.784,0.391,-0.0,0.391,0.096,0.3322,-0.0467,4.569,2023-24
Mélodie Daoust,168,MTL,F,6,109.18333333333334,3,1,1,6,4,2.2495647867565594,3.297206533353686,2.1074549356754173,-0.4395653634384158,-0.33359196529408003,0.5105841929948152,1.0990688444512289,-0.46227716760284676,-0.01849108670411387,1.2362132853493533,0.014868109825294133,1.2510813951746473,1.127,0.027,1.154,1.645,0.112,1.757,0.36,0.025,0.385,0.212,0.3322,-0.0467,4.569,2023-24
Lexie Adzija,49,OTT,F,15,237.78333333333333,6,0,3,-2,4,3.180999672366759,-0.5046611060489241,2.1951371197005343,0.43363415082359014,0.5396075489679258,0.5277777777777778,0.25233055302446206,-0.7308670267490643,-0.029234681069962576,0.8026634064989369,-0.08319543596675516,0.7194679705321817,0.737,-0.33,0.407,1.864,-0.145,1.719,0.408,-0.032,0.376,0.095,0.3322,-0.0467,4.569,2023-24
Jesse Compher,65,TOR,F,23,338.98333333333335,1,2,0,-1,23,3.35276654284586,-0.17699985250012293,1.4175327773597193,0.16121970059282287,0.26719309873715863,0.5827814569536424,1.0619991150007375,0.1312053127818657,0.005248212511274628,0.5934391835510643,-0.021471097362441235,0.571968086188623,-0.131,-0.121,-0.252,1.476,0.142,1.618,0.323,0.031,0.354,0.063,0.3322,-0.0467,4.569,2023-24
Elizabeth Giguère,37,NY,F,23,290.48333333333335,3,1,0,-15,6,3.079345937972595,-3.098284468414711,1.6975388725447307,0.07143932052428559,0.17741271866862135,0.472729039075736,0.6196568936829422,-0.05675369175491485,-0.002270147670196594,0.6360459794997615,-0.02001141953705873,0.6160345599627027,0.094,-0.097,-0.003,1.471,0.129,1.6,0.322,0.028,0.35,0.072,0.3322,-0.0467,4.569,2023-24
Amanda Boulier,51,MTL,D,5,96.91666666666666,0,2,1,-2,0,1.862852258621012,-1.2381771281169391,5.409212995711657,2.301941929366367,2.407915327510703,0.5105841929948152,11.762682717110922,8.939089904720941,0.35756359618883765,1.1532705298427588,0.11677206343776733,1.2700425932805262,0.867,0.189,1.056,1.326,0.264,1.59,0.29,0.058,0.348,0.215,0.3322,-0.0467,4.569,2023-24
Claire Dalton,26,MTL,F,18,236.41666666666666,5,3,1,4,0,2.6799124037238977,1.0151568558336272,1.5217483963034955,-0.07729539752687509,0.02867800061746066,0.5105841929948152,1.7765244977088472,0.2151784856547716,0.008607139426190864,0.6801328624184725,0.005739339364444797,0.6858722017829173,0.25,0.023,0.273,1.371,0.207,1.578,0.3,0.045,0.345,0.088,0.3322,-0.0467,4.569,2023-24
Megan Keller,12,BOS,D,23,579.9666666666667,4,8,3,8,12,4.366780835194055,0.8276337720558653,1.8755619522585136,0.018815990271226823,0.12478938841556257,0.5308168796073996,2.2759928731536294,0.20440126902814018,0.008176050761125608,0.4517619117966147,-0.0043028880804306495,0.447459023716184,-1.594,-0.042,-1.636,1.156,0.41,1.566,0.253,0.09,0.343,0.035,0.3322,-0.0467,4.569,2023-24
