name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,FA60,FA60_resid,d_adj_FA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Kati Tabin,84,MTL,D,28,521.65,4,2,2,3,23,2.6934275283047393,0.34505894757020994,1.3942329228250454,-0.3213594799652495,-0.17142565992389458,0.5004314457245085,3.5656091248921693,-0.7917177890651431,-0.03166871156260573,0.3097970894244884,0.20832721233084667,0.5181243017553351,-2.657,1.811,-0.846,-0.094,6.072,5.978,-0.019,1.203,1.184,0.136,0.3206,-0.4901,5.049,2024-25
Lina Ljungblom,201,MTL,F,29,380.1166666666667,3,2,1,-3,8,5.043740203946699,-0.4735388257990968,1.3652081026070861,-0.11694318496973977,0.03299063507161515,0.52,3.1569255053273118,0.5603739976693151,0.022414959906772603,0.7961356046042055,-0.0237719291934886,0.7723636754107169,1.145,-0.151,0.994,3.013,2.954,5.967,0.597,0.585,1.182,0.187,0.3206,-0.4901,5.049,2024-25
Jessica Digirolamo,5,BOS,D,28,484.66666666666663,1,1,3,6,12,2.1474842536517382,0.7427785419532326,1.3193659208832191,-0.335007871084263,-0.18507405104290808,0.4942908388939029,3.5900962861072903,0.28002271955698255,0.011200908782279303,0.2658508704658273,0.2703045802423506,0.5361554507081778,-2.824,2.183,-0.641,-0.442,6.142,5.7,-0.088,1.216,1.128,0.14,0.3206,-0.4901,5.049,2024-25
Alex Carpenter,34,NY,F,25,518.0,12,8,1,4,0,5.890702130487803,0.46332046332046334,1.254599140534735,0.027191726068788613,0.17712554611014353,0.5772058823529411,1.8532818532818534,0.4157358950969211,0.016629435803876845,0.6823207100951123,-0.23134632875032407,0.45097438134478823,0.577,-1.997,-1.42,3.123,2.234,5.357,0.619,0.442,1.061,0.123,0.3206,-0.4901,5.049,2024-25
Lee Stecklein,24,MIN,D,28,647.2833333333333,3,1,5,-2,6,2.8250736137688914,-0.1853902206658599,1.4601241463115964,-0.17989336461604832,-0.02995954457469341,0.5004314457245085,3.8004995236501276,0.2900118244729936,0.011600472978919744,0.2618705103269565,0.053543835383490515,0.315414345710447,-3.814,0.578,-3.236,-0.634,5.865,5.231,-0.126,1.162,1.036,0.096,0.3206,-0.4901,5.049,2024-25
Alina Müller,15,BOS,F,24,423.25,7,7,2,0,6,4.902443652822759,0.0,1.3513006530874612,-0.06343051022734114,0.08650330981401377,0.45,1.2758417011222682,-0.27345645912872374,-0.01093825836514895,0.6949713388526062,-0.13204289210476822,0.5629284467478379,0.561,-0.931,-0.37,2.641,2.526,5.167,0.523,0.5,1.023,0.145,0.3206,-0.4901,5.049,2024-25
Maggie Connors,66,TOR,F,29,224.55,2,0,0,-8,6,3.266495132900539,-2.1376085504342015,1.330557845914178,-0.26769077405288844,-0.11775695401153352,0.5236565614794862,2.4048096192384767,0.38313280441837894,0.015325312176735158,0.872810990754987,0.18018504779288208,1.0529960385478692,0.963,0.674,1.637,2.067,2.508,4.575,0.409,0.497,0.906,0.242,0.3206,-0.4901,5.049,2024-25
Claire Dalton,26,MTL,F,30,395.65,3,5,1,2,4,4.173811064040757,0.3032983697712625,1.258302304672465,-0.07137575438932675,0.07855806565202816,0.4403177661018539,2.274737773284469,-0.3218137343735278,-0.012872549374941112,0.6329550457284101,-0.12285384128778054,0.5101012044406296,0.116,-0.81,-0.694,2.06,2.422,4.482,0.408,0.48,0.888,0.135,0.3206,-0.4901,5.049,2024-25
Dominique Petrie,195,MIN,F,17,259.5333333333333,3,4,2,2,4,3.593643994524263,0.46236835345491917,1.4320589856224342,-0.11204560075442394,0.03788821928693098,0.5144508670520231,3.6989468276393533,1.9492345347615352,0.0779693813904614,0.830793628325671,0.024925874388758033,0.8557195027144291,0.932,0.108,1.04,2.207,2.228,4.435,0.437,0.441,0.878,0.203,0.3206,-0.4901,5.049,2024-25
Gabbie Hughes,57,OTT,F,28,518.5666666666666,5,7,3,-3,16,6.640088662630213,-0.3471106254419233,1.6306157598417546,0.15576870357824402,0.30570252361959893,0.4921700223713646,1.851256669023591,0.025325556191564735,0.0010130222476625894,0.7682817762251324,-0.4269705108197759,0.3413112654053565,1.321,-3.69,-2.369,3.869,0.545,4.414,0.766,0.108,0.874,0.101,0.3206,-0.4901,5.049,2024-25
