season,PlayerID,name,team,pos,GP,TOI,xG_season,actual_goals,changed_team
2023-24,81,Sarah Bujold,MTL,F,19,263.78333333333336,2.524252362461489,3,False
2023-24,82,Dominika Laskova,MTL,D,7,126.7,0.2553133596316899,0,False
2023-24,83,Erin Ambrose,MTL,D,22,560.75,3.3935806903773424,4,False
2023-24,84,Kati Tabin,MTL,D,22,493.79999999999995,3.307365180438319,0,False
2023-24,86,Emma Woods,NY,F,23,358.3666666666667,2.6786843369677817,2,False
2023-24,87,Jaime Bourbonnais,NY,D,23,578.4333333333333,4.792137125876039,5,False
2023-24,88,Katerina Mrazova,OTT,F,21,352.1,2.740806249635878,4,False
2023-24,89,Hannah Miller,TOR,F,22,331.35,3.494499794818332,7,False
2023-24,90,Natalie Buchbinder,MIN,D,24,481.84999999999997,1.8898259883835153,2,False
2023-24,91,Brooke Bryant,MIN,F,22,157.95,0.8910525347574393,1,False
2023-24,92,Sydney Brodt,MIN,F,6,49.11666666666667,0.055144181347513366,0,False
2023-24,97,Liz Schepers,MIN,F,19,234.7,3.2451920047321585,0,False
2023-24,98,Maureen Murphy,MTL,F,22,379.68333333333334,5.6143477806818725,3,False
2023-24,99,Mariah Keopple,MTL,D,22,441.26666666666665,1.1504012814144513,0,False
2023-24,100,Natalie Spooner,TOR,F,23,432.81666666666666,10.922182973569042,19,False
2023-24,101,Alexa Vasko,TOR,F,23,211.43333333333334,1.1708626197999574,2,False
2023-24,102,Claire Butorac,MIN,F,20,197.95,1.0405800546792123,1,False
2023-24,103,Sophia Kunin,MIN,F,24,308.2166666666667,2.5312833762248337,2,False
2023-24,104,Denisa Krizova,MIN,F,24,382.93333333333334,4.734186569937825,3,False
2023-24,105,Brittyn Fleming,MIN,F,23,272.05,1.9253308688544388,1,False
2023-24,107,Sammy Davis,OTT,F,8,33.78333333333333,0.08268568936095569,0,False
2023-24,108,Samantha Isbell,OTT,F,9,58.43333333333334,0.07488801430017682,0,True
2023-24,109,Gigi Marvin,BOS,F,23,287.26666666666665,2.0350561235505986,1,False
2023-24,110,Amanda Pelkey,BOS,F,22,236.55,1.7099626613227177,1,False
2023-24,111,Taylor Wenczkowski,BOS,F,15,77.06666666666666,0.17703601903590216,0,False
2023-24,114,Abby Boreen,MIN,F,9,148.91666666666666,2.1313571647771252,4,False
2023-24,115,Michela Cava,MIN,F,24,360.0833333333333,3.9623675287151663,5,False
2023-24,116,Clair DeGeorge,MIN,F,23,236.5,1.2984430393427475,0,False
2023-24,117,Abby Cook,MIN,D,18,154.7,0.4970357579676416,2,True
2023-24,118,Emma Greco,MIN,D,22,294.2,1.4691671932897667,0,False
2023-24,119,Dominique Kremer,MIN,D,12,63.483333333333334,0.04699688864956825,0,False
2023-24,125,Victoria Bach,TOR,F,16,226.65,2.0284246746330235,2,False
2023-24,126,Samantha Cogan,TOR,F,22,198.93333333333334,1.6242398021764266,2,False
2023-24,127,Jess Jones,TOR,F,4,15.316666666666666,0.0,0,False
2023-24,128,Kaitlin Willoughby,TOR,F,21,135.25,0.8626235081450171,0,False
2023-24,129,Mellissa Channell,MIN,D,24,393.7,0.5426497241030334,0,False
2023-24,131,Olivia Knowles,TOR,D,19,187.81666666666666,0.30790932508547625,0,False
2023-24,133,Lauriane Rougeau,TOR,D,23,280.3833333333333,0.7313738944289337,0,False
2023-24,136,Rosalie Demers,OTT,F,11,63.3,0.4476472677703298,0,False
