name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,xGA60,xGA60_resid,d_adj_xGA60,ozs_pct,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win,Season
Brittyn Fleming,105,MIN,F,23,272.05,1,1,0,4,8,2.469950701533958,0.8821907737548245,1.3179157420728231,0.029846840333369373,0.13829061139158638,0.5208333333333334,0.6616430803161183,-0.012821911945421594,-0.0005128764778168638,0.5447419301306284,-0.014341937616975503,0.5303999925136529,-0.326,-0.065,-0.391,0.964,0.136,1.1,0.211,0.03,0.241,0.053,0.3322,-0.0442,4.569,2023-24
Catherine Dubois,157,MTL,F,19,192.93333333333334,2,2,1,-3,12,2.0563836890871343,-0.9329647546648238,1.489928225504253,0.017428773338730164,0.12587254439694717,0.5105841929948152,1.5549412577747064,-0.0064047542793692624,-0.0002561901711747705,0.6395111679953078,-0.012843444610869488,0.6266677233844383,0.074,-0.041,0.033,0.988,0.101,1.089,0.216,0.022,0.238,0.074,0.3322,-0.0442,4.569,2023-24
Paetyn Levis,40,NY,F,22,292.7166666666667,0,1,2,-3,4,2.5831037541948123,-0.6149291123384387,1.5194826532173815,0.15036172416111437,0.2588054952193314,0.472729039075736,0.6149291123384387,-0.061481473099418316,-0.0024592589239767326,0.5294752328817015,-0.028339808445909873,0.5011354244357916,-0.425,-0.138,-0.563,0.962,0.078,1.04,0.211,0.017,0.228,0.047,0.3322,-0.0442,4.569,2023-24
Amanda Pelkey,110,BOS,F,22,236.55,1,0,1,-5,8,2.346000580127033,-1.2682308180088777,1.9536899641225254,0.599870261604962,0.708314032663179,0.5298394239166777,1.014584654407102,0.20523985061751718,0.008209594024700687,0.5950540469567618,-0.06262180924161723,0.5324322377151446,-0.085,-0.247,-0.332,1.036,-0.073,0.963,0.227,-0.016,0.211,0.054,0.3322,-0.0442,4.569,2023-24
Victoria Bach,125,TOR,F,16,226.65,2,2,1,3,2,2.0592223174695254,0.7941760423560557,1.2393823792988494,-0.12426377629406926,-0.015820005235852266,0.4871794871794871,0.7941760423560557,-0.13661775986281616,-0.005464710394512647,0.5451283434730709,-0.0038827098709274203,0.5412456336021435,-0.27,-0.015,-0.285,0.804,0.152,0.956,0.176,0.033,0.209,0.055,0.3322,-0.0442,4.569,2023-24
Sarah Bujold,81,MTL,F,19,263.78333333333336,3,1,0,-6,16,2.185412444489683,-1.3647564288873444,1.364162066132127,-0.05767339408032934,0.05077037697788765,0.4242424242424242,1.819675238516459,0.2583292264623833,0.010333169058495333,0.4970926138979503,0.005256131360706568,0.5023487452586568,-0.525,0.023,-0.502,0.725,0.218,0.943,0.159,0.048,0.207,0.047,0.3322,-0.0442,4.569,2023-24
Abby Roque,42,NY,F,23,473.01666666666665,6,5,2,-16,29,3.6688697893904014,-2.0295267960959795,1.5305511125538536,0.3128938240070529,0.4213375950652699,0.4916666666666666,0.25369084951199744,-0.42271973592585965,-0.016908789437034385,0.46537934680967713,-0.05904254894356138,0.40633679786611576,-1.192,-0.465,-1.657,1.05,-0.117,0.933,0.23,-0.026,0.204,0.026,0.3322,-0.0442,4.569,2023-24
Shiann Darkangelo,4,BOS,F,17,202.8,0,1,0,-5,0,1.9930535319564642,-1.4792899408284022,1.5208066390005814,-0.06599070767377335,0.04245306338444364,0.4210526315789473,0.0,-0.8093448037895848,-0.0323737921515834,0.5896608082711432,-0.036619098490027764,0.5530417097811154,-0.091,-0.124,-0.215,0.87,0.026,0.896,0.19,0.006,0.196,0.058,0.3322,-0.0442,4.569,2023-24
Alexandra Labelle,39,NY,F,23,243.65,1,2,0,-2,4,1.8947419434172459,-0.4925097475887544,1.5286201007546671,-0.0537385443598144,0.054705226698402595,0.3287671232876712,1.7237841165606402,1.0473735311227832,0.041894941244911325,0.4665894381491268,0.03642441857507107,0.5030138567241978,-0.609,0.148,-0.461,0.546,0.328,0.874,0.12,0.072,0.192,0.047,0.3322,-0.0442,4.569,2023-24
Theresa Schafzahl,17,BOS,F,20,269.1166666666667,3,3,0,5,0,2.5371915654932264,1.1147581594104168,1.9122907525952186,0.6085793596801059,0.7170231307383229,0.5298394239166777,0.4459032637641667,-0.3634415400254182,-0.014537661601016728,0.5656709999241726,-0.08623997467484902,0.4794310252493236,-0.229,-0.387,-0.616,1.047,-0.188,0.859,0.229,-0.041,0.188,0.042,0.3322,-0.0442,4.569,2023-24
Amanda Boulier,51,OTT,D,15,252.7,1,4,1,6,2,1.862852258621012,1.4246141669964385,2.2319985709214865,0.3826966229375304,0.4911403939957474,0.5105841929948152,4.511278195488722,2.265833815379291,0.09063335261517164,0.4423076197754678,0.0415193132155969,0.48382693299106466,-0.734,0.175,-0.559,0.464,0.361,0.825,0.102,0.079,0.181,0.043,0.3322,-0.0442,4.569,2023-24
Samantha Cogan,126,TOR,F,22,198.93333333333334,2,0,0,-5,6,1.7320536571455334,-1.5080428954423593,1.2658475933814493,0.11825794256041089,0.2267017136186279,0.5668242255597484,1.809651474530831,0.8788576723119591,0.035154306892478365,0.5224022424366556,0.012484135530615573,0.5348863779672711,-0.312,0.041,-0.271,0.631,0.188,0.819,0.138,0.041,0.179,0.054,0.3322,-0.0442,4.569,2023-24
Erin Ambrose,83,MTL,D,22,560.75,4,10,4,6,4,3.4669778038288133,0.6419973250111458,1.5792523562001566,-0.10334489941455072,0.005098871643666278,0.5308168796073996,2.8889879625501558,0.06539515016017572,0.002615806006407029,0.3709650793218525,0.002105918842040401,0.37307099816389294,-2.296,0.02,-2.276,0.362,0.433,0.795,0.079,0.095,0.174,0.019,0.3322,-0.0442,4.569,2023-24
Fanni Garát-Gasparics,137,OTT,F,14,118.51666666666667,1,0,0,-1,4,1.3848327542450212,-0.5062579102798481,1.1412323932440418,-0.3912267856881919,-0.2827830146299749,0.5308168796073996,0.0,-0.9831975797735264,-0.03932790319094106,0.7010825362511709,-0.011049601727943566,0.6900329345232273,0.167,-0.022,0.145,0.729,0.066,0.795,0.16,0.014,0.174,0.088,0.3322,-0.0442,4.569,2023-24
Jill Saulnier,149,NY,F,17,211.8,1,1,0,-5,10,1.8465723989801253,-1.4164305949008498,1.5148417054649495,0.21728762947051083,0.32573140052872784,0.5,1.13314447592068,0.45673389048282287,0.018269355619312914,0.5231083283229817,-0.014303784433559869,0.5088045438894219,-0.33,-0.05,-0.38,0.674,0.106,0.78,0.148,0.023,0.171,0.048,0.3322,-0.0442,4.569,2023-24
