name,player_id,team,pos,gp,toi_min,ixG,FA,ixG60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,d_value60,value60,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60
Hayley Scamurra,61,MTL,C,15,217.68333333333328,2.839,18.64551240322317,0.7825128244391701,5.139257687129884,-0.04771645577806949,-0.047716455778069496,0.0,-0.595730155583516,-0.023829206223340643,-0.021968264447995933,0.7605445599911742,1.758,-0.002,1.756,0.39,-0.0,0.39,0.107
Maggie Connors,66,TOR,LW,16,210.58333333333334,2.6849999999999996,20.342708891339615,0.7650178076770874,5.796102256337365,-0.015478041069468373,-0.015478041069468379,0.2849228333992877,0.0623094802861012,0.002492379211444048,0.0030960228131533146,0.7681138304902407,1.639,0.086,1.725,0.364,0.019,0.383,0.109
Fanuza Kadirova,240,OTT,LW,14,194.36666666666665,2.559,20.664841397790333,0.789950265820614,6.379131283831693,-0.0918169054004011,-0.0918169054004011,0.0,0.04066370438890832,0.0016265481755563327,0.005207407486171976,0.795157673306786,1.594,0.086,1.68,0.354,0.019,0.373,0.115
Susanna Tapani,78,BOS,C,14,271.0,2.8390000000000004,24.160334444376264,0.6285608856088563,5.34915153750028,0.0182926450072759,0.01829264500727589,0.8856088560885609,0.4856352706797643,0.019425410827190574,0.018711997671906812,0.647272883280763,1.493,0.181,1.674,0.331,0.04,0.371,0.082
Blayre Turnbull,76,TOR,C,16,288.70000000000005,2.967,28.106115049621074,0.6166262556286802,5.841243169301227,-0.0026097409931551407,-0.0026097409931551464,0.0,-0.2226133531131865,-0.00890453412452746,-0.008802754225794409,0.6078235014028858,1.534,0.06,1.594,0.34,0.013,0.353,0.073
Jill Saulnier,149,BOS,LW,14,172.03333333333336,2.43,15.195096811241642,0.8475101724472002,5.299588114751977,0.016346930131139747,0.01634693013113974,0.0,-0.3999735854087965,-0.01599894341635186,-0.01663647369146631,0.8308736987557339,1.576,0.014,1.59,0.35,0.003,0.353,0.123
Emma Maltais,73,TOR,C,16,304.6166666666667,2.9420000000000006,29.369873046600926,0.5794824095858184,5.7849506465920735,-0.06698041200622895,-0.06698041200622895,0.39393773595228976,0.17132438283910326,0.00685297531356413,0.00946521138180706,0.5889476209676254,1.43,0.157,1.587,0.317,0.035,0.352,0.069
Olivia Mobley,256,BOS,RW,10,126.19999999999999,2.1229999999999998,11.103519807217046,1.009350237717908,5.279011001846456,0.030967250664910684,0.030967250664910677,0.0,-0.3999735854087965,-0.01599894341635186,-0.017206666192283376,0.9921435715256246,1.496,0.009,1.505,0.332,0.002,0.334,0.159
Abby Hustler,247,MIN,LW,15,246.4666666666667,2.737,24.581375345527395,0.6662969975655937,5.984105439809211,0.05615326028159762,0.05615326028159761,0.0,-0.5816915312877897,-0.023267661251511588,-0.025457638402493894,0.6408393591630998,1.513,-0.017,1.496,0.336,-0.004,0.332,0.081
Britta Curl-Salemme,189,MIN,RW,15,266.8333333333333,2.8140000000000005,26.444388455848532,0.6327545284197378,5.946270983201419,0.011023892965657093,0.011023892965657088,0.0,-0.5816915312877897,-0.023267661251511588,-0.023697593077172216,0.6090569353425656,1.489,-0.01,1.479,0.33,-0.002,0.328,0.074
Maddi Wheeler,285,NY,RW,16,234.41666666666669,2.506,23.356258571062682,0.6414219694276572,5.978139413851806,0.04623658766866246,0.046236587668662454,0.0,0.08603199870155415,0.003441279948062166,0.0016380530289843301,0.6430600224566415,1.342,0.09,1.432,0.298,0.02,0.318,0.081
Denisa Křížová,104,MIN,LW,15,204.35,2.251,20.223889073063763,0.6609248837778322,5.938014897890021,0.00889437591792797,0.008894375917927964,1.1744555908979692,0.5927640596101794,0.023710562384407177,0.023363681723607987,0.6842885655014402,1.236,0.152,1.388,0.274,0.034,0.308,0.09
Sarah Nurse,75,VAN,C,5,104.30000000000001,1.663,10.996433434233568,0.9566634707574305,6.325848571946443,0.16550949823457545,0.16550949823457545,3.4515819750719077,2.97224648025683,0.1188898592102732,0.11243498877912476,1.0690984595365554,1.145,0.233,1.378,0.254,0.052,0.306,0.176
Michelle Karvinen,252,VAN,LW,16,265.53333333333336,2.6850000000000005,27.798471994114493,0.6067034898317851,6.281351944439629,0.044902587934420646,0.04490258793442064,0.0,-0.47933549481507765,-0.019173419792603105,-0.02092462072204551,0.5857788691097396,1.367,0.002,1.369,0.303,0.0,0.303,0.068
Abby Roque,42,MTL,LW,14,285.0333333333333,2.7610000000000006,25.47974322645665,0.5811951818500761,5.36352915537621,0.1327718842710931,0.1327718842710931,0.0,-0.595730155583516,-0.023829206223340643,-0.029007309709913276,0.5521878721401628,1.346,-0.036,1.31,0.299,-0.008,0.291,0.061
Skylar Irving,272,MTL,RW,13,100.55,1.791,8.970245644894247,1.0687220288413726,5.352707495710142,0.22797893707582817,0.22797893707582817,0.0,-0.595730155583516,-0.023829206223340643,-0.03272038476929794,1.0360016440720747,1.292,-0.019,1.273,0.287,-0.004,0.283,0.169
