name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Riley Brengman,255,BOS,RD,13,248.98333333333332,2,0,0,1,2,0.7322923260081807,0.24097998527344536,0.013793092789942285,0.013793092789942285,0.0,-0.9371034392110141,-0.037484137568440566,0.17646779393730844,-0.032518624164061344,0.1439491697732471,-1.055,-0.135,-1.19,-0.17,1.022,0.852,-0.038,0.227,0.189,0.046,0.2175,-0.2788,4.5082
Hannah Murphy,250,SEA,G,6,355.7166666666667,0,0,1,0,0,0.0,0.0,0.26022425692154155,0.26022425692154155,0.0,-0.39586589994349974,-0.01583463599773999,0.0,0.07784609649401497,0.07784609649401497,-2.554,0.462,-2.092,-1.289,2.114,0.825,-0.286,0.469,0.183,0.031,0.2175,-0.2788,4.5082
Jocelyne Larocque,71,OTT,RD,4,91.01666666666667,0,0,1,-2,0,1.065107942765455,-1.318439846182018,-1.0645008597091419,-1.0645008597091419,3.955319538546054,3.3536189377488697,0.13414475750995478,0.7021403761134661,-0.2490755519853363,0.4530648241281299,0.412,-0.378,0.034,0.735,0.045,0.78,0.163,0.01,0.173,0.114,0.2175,-0.2788,4.5082
Clara Van Wieren,316,TOR,C,16,174.1,0,2,0,-2,10,0.6475878036783768,-0.6892590465249857,-0.03258394065232417,-0.03258394065232417,0.0,-0.16056631468181765,-0.006422652587272706,0.22317787605228379,-0.018152871222109408,0.20502500483017438,-0.602,-0.053,-0.655,0.017,0.756,0.773,0.004,0.168,0.172,0.059,0.2175,-0.2788,4.5082
Liz Schepers,97,BOS,C,11,144.91666666666666,1,0,1,-1,0,1.0097452063824663,-0.4140310523289247,-0.6160509143186466,-0.6160509143186466,1.6561242093156987,1.388039797502087,0.05552159190008348,0.4180658703826198,-0.16625673725462928,0.25180913312799047,-0.031,-0.402,-0.433,0.484,0.272,0.756,0.107,0.06,0.167,0.069,0.2175,-0.2788,4.5082
Hannah Brandt,1,BOS,C,13,151.85,0,0,1,-1,2,0.769987815602821,-0.39512676983865663,-0.6090034676350791,-0.6090034676350791,3.951267698386566,3.6831832865729544,0.14732733146291818,0.3042427983942658,-0.07191391688571028,0.23232888150855555,-0.32,-0.182,-0.502,0.22,0.524,0.744,0.049,0.116,0.165,0.065,0.2175,-0.2788,4.5082
Darcie Lappan,306,VAN,C,12,100.46666666666667,0,1,0,0,0,0.4172696157614813,0.0,0.3896735890296656,0.3896735890296656,0.0,-0.18181820126273718,-0.007272728050509487,0.24919884152974997,0.13300976400017012,0.3822086055299201,-0.304,0.223,-0.081,0.053,0.689,0.742,0.012,0.153,0.165,0.099,0.2175,-0.2788,4.5082
Kaitlin Willoughby,128,MTL,RW,15,146.11666666666667,0,2,0,0,0,0.821413486187414,0.0,-0.3600453852733926,-0.3600453852733926,0.8212615489905326,0.2401652509391236,0.009606610037564944,0.3372976560139946,-0.12000972866085638,0.2172879273531382,-0.228,-0.292,-0.52,0.292,0.387,0.679,0.065,0.086,0.151,0.062,0.2175,-0.2788,4.5082
Jamie Lee Rattray,16,BOS,RW,6,84.98333333333332,2,1,0,-2,2,1.3139892397639126,-1.412041576779761,-1.5609729727291106,-1.5609729727291106,1.412041576779761,1.143957164966149,0.04575828659864596,0.9277037189939372,-0.5161919835838338,0.41151173541010344,0.704,-0.731,-0.027,1.006,-0.336,0.67,0.223,-0.075,0.148,0.104,0.2175,-0.2788,4.5082
Emma Gentry,244,TOR,C,13,147.05,1,0,0,-4,10,1.3567099190244194,-1.6320979258755524,-0.9410061124908615,-0.9410061124908615,0.0,-0.16056631468181765,-0.006422652587272706,0.5535708612136359,-0.34518485308398283,0.20838600812965302,0.301,-0.846,-0.545,0.824,-0.163,0.661,0.183,-0.036,0.147,0.06,0.2175,-0.2788,4.5082
Alexandra Labelle,39,MTL,C,13,135.26666666666668,0,0,1,0,2,0.8600609300003932,0.0,-0.35544131597599726,-0.35544131597599726,0.0,-0.5810962980514089,-0.023243851922056358,0.3814957304092429,-0.15120272567341536,0.23029300473582753,-0.111,-0.341,-0.452,0.37,0.288,0.658,0.082,0.064,0.146,0.065,0.2175,-0.2788,4.5082
Emily Brown,2,SEA,LD,3,56.7,0,0,1,-1,6,0.33589153923978166,-1.0582010582010581,-0.7609508897424913,-0.7609508897424913,14.814814814814813,13.749929887473911,0.5499971954989564,0.3554407822643192,0.2760548751916596,0.6314956574559788,-0.071,0.261,0.19,0.13,0.524,0.654,0.029,0.116,0.145,0.153,0.2175,-0.2788,4.5082
Sidney Morin,167,MIN,LD,7,142.15,0,3,2,0,0,1.2380031815380406,0.0,-0.9157619921829145,-0.9157619921829145,1.6883573689764333,0.5766659357956947,0.02306663743182779,0.522547948591505,-0.3066076797540214,0.21594026883748357,0.217,-0.726,-0.509,0.723,-0.066,0.657,0.16,-0.015,0.145,0.061,0.2175,-0.2788,4.5082
Hannah Miller,89,VAN,C,16,299.09999999999997,1,2,3,-7,4,2.0052406404083056,-1.4042126379137414,-0.9985953527866447,-0.9985953527866447,0.8024072216649951,0.6205890204022579,0.02482356081609032,0.402254892759941,-0.33467076618710173,0.06758412657283924,-0.142,-1.668,-1.81,0.921,-0.279,0.642,0.204,-0.062,0.142,0.028,0.2175,-0.2788,4.5082
Elle Hartje,206,NY,LW,7,98.63333333333333,0,0,0,-2,2,1.2431197647419732,-1.2166272389320716,-1.385983547577219,-1.385983547577219,0.0,0.16605351641629928,0.006642140656651972,0.7562066835199567,-0.4923119364711469,0.2638947470488098,0.535,-0.809,-0.274,0.886,-0.351,0.535,0.197,-0.078,0.119,0.072,0.2175,-0.2788,4.5082
Lauren Bernard,207,NY,RD,4,59.96666666666667,0,0,1,0,0,0.5492756569172866,0.0,-0.1908803019887836,-0.1908803019887836,0.0,-0.5029655109811031,-0.020118620439244124,0.5495809796837776,-0.08883552915520623,0.4607454505285714,0.119,-0.089,0.03,0.332,0.19,0.522,0.074,0.042,0.116,0.116,0.2175,-0.2788,4.5082
Mariah Keopple,99,SEA,LD,13,201.1,0,0,2,-1,0,0.37795930348782525,-0.29835902536051717,-0.026387883281930757,-0.026387883281930757,0.5967180507210343,-0.4681668766198678,-0.018726675064794713,0.11276756941456746,-0.028226313046289787,0.08454125636827767,-1.066,-0.095,-1.161,-0.351,0.84,0.489,-0.078,0.186,0.108,0.032,0.2175,-0.2788,4.5082
Lauren Bernard,207,NY,LD,12,159.78333333333333,0,0,1,0,0,0.5492756569172866,0.0,-0.22664394760343046,-0.22664394760343046,0.0,-0.5029655109811031,-0.020118620439244124,0.20625767861710984,-0.1017104415764791,0.10454723704063074,-0.598,-0.271,-0.869,-0.03,0.472,0.442,-0.007,0.105,0.098,0.037,0.2175,-0.2788,4.5082
Brooke Bryant,91,SEA,RW,14,101.75,0,1,0,-1,0,0.5418789016520822,-0.5896805896805897,-0.29617064173766056,-0.29617064173766056,0.0,-0.39586589994349974,-0.01583463599773999,0.31953547026167006,-0.12245606702329778,0.19707940323837228,-0.189,-0.208,-0.397,0.173,0.265,0.438,0.038,0.059,0.097,0.057,0.2175,-0.2788,4.5082
Catherine Dubois,157,MTL,LW,11,97.1,0,0,0,-1,4,0.9261372417005923,-0.6179196704428425,-0.9534873441426467,-0.9534873441426467,0.0,-0.5810962980514089,-0.023243851922056358,0.5722784191764732,-0.3664992958134092,0.20577912336306398,0.229,-0.593,-0.364,0.574,-0.142,0.432,0.127,-0.031,0.096,0.059,0.2175,-0.2788,4.5082
Kiara Zanon,317,TOR,LW,16,206.46666666666667,1,0,1,-5,0,1.1641940336379513,-1.4530190506942202,-0.7843497857409687,-0.7843497857409687,0.0,-0.16056631468181765,-0.006422652587272706,0.3383192219160982,-0.2887885754540214,0.04953064646207678,-0.318,-0.994,-1.312,0.416,-0.034,0.382,0.092,-0.008,0.084,0.024,0.2175,-0.2788,4.5082
Mikyla Grant-Mentis,138,SEA,C,14,206.63333333333333,1,2,1,-5,6,1.4666075121008493,-1.4518470721084047,-1.147261616059551,-1.147261616059551,1.1614776576867238,0.7656117577432241,0.030624470309728966,0.4258579644751619,-0.38238971147170936,0.04346825300345253,-0.017,-1.317,-1.334,0.718,-0.357,0.361,0.159,-0.079,0.08,0.023,0.2175,-0.2788,4.5082
Sanni Ahola,238,OTT,G,2,124.61666666666666,0,0,0,0,0,0.0,0.0,0.18079772427179785,0.18079772427179785,0.0,0.06731842660021836,0.0026927370640087347,0.0,0.06777991780185595,0.06777991780185595,-0.895,0.141,-0.754,-0.452,0.72,0.268,-0.1,0.16,0.06,0.029,0.2175,-0.2788,4.5082
Anna Shokhina,239,OTT,LW,9,107.23333333333333,1,2,0,-3,2,1.049513936976688,-1.6785825303077402,-1.4366134430252524,-1.4366134430252524,0.0,0.06731842660021836,0.0026927370640087347,0.5872319199745223,-0.5144881024250821,0.07274381754944015,0.28,-0.92,-0.64,0.661,-0.421,0.24,0.147,-0.093,0.054,0.03,0.2175,-0.2788,4.5082
Anna Meixner,221,OTT,LW,10,125.43333333333332,1,0,0,-3,4,1.007542363389991,-1.4350252458145099,-1.2040233152363722,-1.2040233152363722,0.0,0.06731842660021836,0.0026927370640087347,0.481949575897418,-0.4307556564210852,0.05119391947633278,0.107,-0.901,-0.794,0.553,-0.318,0.235,0.123,-0.071,0.052,0.025,0.2175,-0.2788,4.5082
Ashton Bell,50,VAN,RD,15,310.1166666666667,1,0,2,-4,0,0.8185832460130222,-0.773902294835277,-0.3936896448165085,-0.3936896448165085,0.0,-0.8508372286601396,-0.03403348914640558,0.158375863150797,-0.17576176128034862,-0.01738589812955163,-1.408,-0.908,-2.316,-0.305,0.532,0.227,-0.068,0.118,0.05,0.01,0.2175,-0.2788,4.5082
Peyton Anderson,263,MIN,LW,13,111.36666666666666,0,0,1,-1,6,1.1000298154813246,-0.5387608500448968,-1.4472200691517405,-1.4472200691517405,0.0,-0.4426724057833362,-0.01770689623133345,0.5926529984634493,-0.5387061211259601,0.05394687733748926,0.3,-1.0,-0.7,0.696,-0.482,0.214,0.154,-0.107,0.047,0.025,0.2175,-0.2788,4.5082
Daniela Pejšová,185,BOS,LD,12,151.75,1,0,0,0,2,0.35581347913889694,0.0,-0.23091444651889645,-0.23091444651889645,0.0,-0.9371034392110141,-0.037484137568440566,0.14068407741900374,-0.12061333831524329,0.02007073910376045,-0.734,-0.305,-1.039,-0.194,0.4,0.206,-0.043,0.089,0.046,0.018,0.2175,-0.2788,4.5082
Natalie Snodgrass,142,SEA,LW,11,159.43333333333334,0,1,0,-3,0,0.847713236750819,-1.1289985364833788,-0.8355420413754195,-0.8355420413754195,0.0,-0.39586589994349974,-0.01583463599773999,0.31902233454975415,-0.316629770892891,0.0023925636568631337,-0.297,-0.841,-1.138,0.27,-0.101,0.169,0.06,-0.022,0.038,0.014,0.2175,-0.2788,4.5082
Jenna Buglioni,237,SEA,C,9,65.88333333333333,0,0,0,0,2,0.0,0.0,0.26022425692154155,0.26022425692154155,0.0,-0.39586589994349974,-0.01583463599773999,0.0,0.07784609649401497,0.07784609649401497,-0.473,0.085,-0.388,-0.239,0.392,0.153,-0.053,0.087,0.034,0.031,0.2175,-0.2788,4.5082
Kali Flanagan,68,TOR,RD,16,362.23333333333335,1,0,2,-9,0,1.5798983539383982,-1.4907518174289132,-0.830064637145326,-0.830064637145326,0.828195454127174,-0.0013898879520460317,-5.559551808184127e-05,0.26169292694295726,-0.29887886489039917,-0.037185937947441905,-1.021,-1.804,-2.825,0.267,-0.121,0.146,0.059,-0.027,0.032,0.005,0.2175,-0.2788,4.5082
