name,player_id,team,pos,gp,toi_min,G,A1,A2,plusMinus,PIM,total_ixG,pm60,pm60_resid,d_adj_pm60,blocks60,blocks60_adj,block_val60,o_xG60,d_value60,value60,oGAA,dGAA,GAA,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60,o_replacement_val60,d_replacement_val60,goals_per_win
Kendall Coyne Schofield,20,MIN,LW,15,250.66666666666666,10,5,1,13,0,3.8377514091121068,3.111702127659574,2.2371975979991747,2.2371975979991747,0.23936170212765961,-0.20331070365567663,-0.008132428146227066,0.9186107096278979,0.7972587071334758,1.7158694167613737,2.038,3.331,5.369,2.929,4.495,7.424,0.65,0.997,1.647,0.394,0.2175,-0.2788,4.5082
Daryl Watts,63,TOR,LW,11,202.5,5,2,1,3,0,4.243966625763891,0.888888888888889,1.6533053389493002,1.6533053389493002,0.0,-0.16056631468181765,-0.006422652587272706,1.2574715928189306,0.5887672694344753,1.846238862253406,2.79,1.987,4.777,3.51,2.928,6.438,0.779,0.649,1.428,0.423,0.2175,-0.2788,4.5082
Britta Curl-Salemme,189,MIN,RW,12,215.33333333333334,5,5,4,13,6,2.5734520298128136,3.6222910216718263,2.7267912533660397,2.7267912533660397,0.0,-0.4426724057833362,-0.01770689623133345,0.7170609370995455,0.9639379549804408,1.6809988920799863,1.027,3.459,4.486,1.793,4.46,6.253,0.398,0.989,1.387,0.386,0.2175,-0.2788,4.5082
Laura Stacey,32,MTL,RW,15,297.68333333333334,2,5,1,4,10,4.898249630987623,0.8062258552152736,0.5138878439007132,0.5138878439007132,0.6046693914114551,0.02357309336004615,0.000942923734401846,0.9872738744502236,0.1859425475386586,1.1732164219888823,2.761,0.923,3.684,3.819,2.306,6.125,0.847,0.512,1.359,0.274,0.2175,-0.2788,4.5082
Brianne Jenner,58,OTT,C,15,285.68333333333334,8,6,1,5,6,3.4896077941095767,1.0501137623242518,1.3072566391460847,1.3072566391460847,0.0,0.06731842660021836,0.0026927370640087347,0.7328970339416881,0.4733051271565992,1.2062021610982874,1.438,2.254,3.692,2.454,3.581,6.035,0.544,0.794,1.338,0.281,0.2175,-0.2788,4.5082
Taylor Heise,21,MIN,C,15,255.85,3,7,6,11,6,2.7460497004805036,2.5796365057650967,1.6765242537895548,1.6765242537895548,1.1725620480750438,0.7298896422917076,0.029195585691668306,0.643982732182256,0.6327443170559081,1.276727049238164,0.909,2.698,3.607,1.819,3.887,5.706,0.403,0.862,1.265,0.297,0.2175,-0.2788,4.5082
Kelly Pannek,23,MIN,C,15,256.8666666666667,8,5,2,10,2,2.3036435002887066,2.3358422008824293,1.421699705608165,1.421699705608165,3.036594861147158,2.593922455363822,0.10375689821455288,0.5380947703762875,0.6155687922334924,1.15366356260978,0.459,2.635,3.094,1.373,3.829,5.202,0.305,0.849,1.154,0.27,0.2175,-0.2788,4.5082
Kristýna Kaltounková,245,NY,RW,4,86.68333333333334,4,1,0,1,12,4.513414568915188,0.6921745818111902,0.769476319259951,0.769476319259951,0.0,0.16605351641629928,0.006642140656651972,3.124070841779403,0.28365361559023433,3.4077244573696377,3.891,0.41,4.301,4.199,0.813,5.012,0.931,0.18,1.111,0.769,0.2175,-0.2788,4.5082
Julia Gosling,210,SEA,LW,14,254.21666666666664,6,4,2,2,8,3.4604429431490713,0.4720382875499902,0.8173405747319127,0.8173405747319127,0.0,-0.39586589994349974,-0.01583463599773999,0.816730780524268,0.2784079709057486,1.0951387514300166,1.635,1.18,2.815,2.539,2.361,4.9,0.563,0.524,1.087,0.257,0.2175,-0.2788,4.5082
Kristýna Kaltounková,245,NY,LW,10,187.65,5,0,0,0,19,4.513414568915188,0.0,-0.09779934322162037,-0.09779934322162037,0.0,0.16605351641629928,0.006642140656651972,1.4431381515316348,-0.02856562290313136,1.4145725286285034,3.166,-0.089,3.077,3.833,0.783,4.616,0.85,0.174,1.024,0.327,0.2175,-0.2788,4.5082
Marie-Philip Poulin,31,MTL,C,15,300.95,7,3,4,3,18,3.6995800090491406,0.5981059976740323,0.2797576591228066,0.2797576591228066,0.9968433294567204,0.4157470314053114,0.016629881256212457,0.7375803307624138,0.11734263854042282,0.8549229693028366,1.539,0.589,2.128,2.609,1.987,4.596,0.579,0.441,1.02,0.203,0.2175,-0.2788,4.5082
Rebecca Leslie,72,OTT,LW,6,116.76666666666665,5,2,0,3,0,3.1281441444427536,1.541535826434485,1.8897729387189552,1.8897729387189552,0.0,0.06731842660021836,0.0026927370640087347,1.607382089636585,0.6830109950028326,2.2903930846394176,2.29,1.329,3.619,2.705,1.872,4.577,0.6,0.415,1.015,0.522,0.2175,-0.2788,4.5082
Natalie Spooner,100,TOR,RW,16,277.5333333333333,3,2,1,-5,2,4.630003035639575,-1.080951237088638,-0.34325518719499004,-0.34325518719499004,0.8647609896709105,0.7041946749890928,0.028167786999563713,1.0009615018197497,-0.0954040803906327,0.9055574214291171,2.637,-0.441,2.196,3.624,0.848,4.472,0.804,0.188,0.992,0.214,0.2175,-0.2788,4.5082
Jesse Compher,65,TOR,RW,11,193.98333333333335,3,2,0,-1,6,3.4446238320490554,-0.3093049231033594,0.4351076948289385,0.4351076948289385,1.2372196924134375,1.0766533777316198,0.0430661351092648,1.065439109491932,0.19970490524768267,1.2651440147396147,2.052,0.646,2.698,2.742,1.547,4.289,0.608,0.343,0.951,0.294,0.2175,-0.2788,4.5082
Alina Müller,15,BOS,C,12,242.85,2,5,2,4,0,2.724836537603909,0.9882643607164916,0.8128230986668492,0.8128230986668492,0.7411982705373688,0.473113858723757,0.01892455434895028,0.6732147097230164,0.311540869869016,0.9847555795920324,0.981,1.261,2.242,1.845,2.389,4.234,0.409,0.53,0.939,0.232,0.2175,-0.2788,4.5082
Tereza Vanišová,161,VAN,RW,5,93.36666666666666,1,2,2,6,4,1.7008169905453272,3.8557657979293114,4.333336477784703,4.333336477784703,0.0,-0.18181820126273718,-0.007272728050509487,1.0929919967802888,1.5527284039519837,2.6457204007322725,1.03,2.416,3.446,1.362,2.85,4.212,0.302,0.632,0.934,0.6,0.2175,-0.2788,4.5082
Maddi Wheeler,285,NY,RW,5,68.95,0,2,1,5,4,2.3327722623042875,4.350978970268311,4.314309170331952,4.314309170331952,0.0,0.16605351641629928,0.006642140656651972,2.029968611142237,1.5597934419761545,3.589762053118392,1.838,1.792,3.63,2.083,2.113,4.196,0.462,0.469,0.931,0.81,0.2175,-0.2788,4.5082
Abby Hustler,247,MIN,LW,12,193.53333333333333,2,3,2,7,0,2.413189827061926,2.1701687909059593,1.2779072304554746,1.2779072304554746,0.0,-0.4426724057833362,-0.01770689623133345,0.7481470356030774,0.4423397067326374,1.1904867423357148,1.024,1.427,2.451,1.712,2.326,4.038,0.38,0.516,0.896,0.278,0.2175,-0.2788,4.5082
Sarah Wozniewicz,241,OTT,RW,9,157.98333333333332,2,1,1,3,2,2.345216803977201,1.1393606920561241,1.412939935231428,1.412939935231428,0.0,0.06731842660021836,0.0026927370640087347,0.8906826136003718,0.5113511137473228,1.4020337273476946,1.211,1.346,2.557,1.773,2.08,3.853,0.393,0.461,0.854,0.324,0.2175,-0.2788,4.5082
Danielle Serdachny,224,SEA,C,14,240.73333333333332,2,2,0,4,6,1.7621164669889253,0.9969537524231515,1.3029276970490573,1.3029276970490573,0.0,-0.39586589994349974,-0.01583463599773999,0.4391871559928089,0.4532193349399206,0.8924064909327295,0.034,1.818,1.852,0.89,2.937,3.827,0.197,0.651,0.848,0.211,0.2175,-0.2788,4.5082
Abby Boreen,114,VAN,RW,16,277.21666666666664,4,1,0,-3,6,3.654563468169811,-0.6493116094510913,-0.20320085372146457,-0.20320085372146457,0.6493116094510913,0.46749340818835416,0.018699736327534168,0.7909834957861673,-0.05445257101219308,0.7365309247739743,1.664,-0.252,1.412,2.65,1.036,3.686,0.588,0.23,0.818,0.177,0.2175,-0.2788,4.5082
Rebecca Leslie,72,OTT,RW,10,177.83333333333331,3,2,2,0,0,3.1281441444427536,0.0,0.2907396504589378,0.2907396504589378,0.0,0.06731842660021836,0.0026927370640087347,1.0554188303649403,0.10735901122922634,1.1627778415941668,1.851,0.318,2.169,2.484,1.144,3.628,0.551,0.254,0.805,0.272,0.2175,-0.2788,4.5082
Emma Maltais,73,TOR,C,11,213.58333333333331,1,3,1,1,8,2.017110309651549,0.2809207959422552,0.9733748661658652,0.9733748661658652,0.5618415918845104,0.4012752772026928,0.016051011088107713,0.566648233690642,0.36646596290781913,0.9331141965984611,0.484,1.305,1.789,1.243,2.297,3.54,0.276,0.51,0.786,0.221,0.2175,-0.2788,4.5082
Maureen Murphy,98,MTL,RW,15,238.48333333333332,3,0,1,1,0,3.2675804126591546,0.25158990844922774,-0.057955115445253724,-0.057955115445253724,0.7547697253476833,0.17367342729627427,0.0069469370918509715,0.8220902568714066,-0.013916904468440367,0.8081733524029662,1.555,-0.055,1.5,2.403,1.053,3.456,0.533,0.234,0.767,0.193,0.2175,-0.2788,4.5082
Sarah Fillier,205,NY,C,9,186.31666666666666,0,4,4,0,2,3.3946037192503455,0.0,-0.1342549343813182,-0.1342549343813182,0.0,0.16605351641629928,0.006642140656651972,1.0931723221487828,-0.04168963572062257,1.0514826864281601,2.057,-0.129,1.928,2.719,0.736,3.455,0.603,0.163,0.766,0.247,0.2175,-0.2788,4.5082
Sophie Jaques,11,VAN,RD,16,365.2833333333333,4,2,1,-3,0,2.9783899543423464,-0.4927681708262993,-0.07809196415939001,-0.07809196415939001,1.8068166263630974,0.9559793977029578,0.03823917590811831,0.48921858993623435,0.010126068810737906,0.49934465874697226,0.356,0.062,0.418,1.654,1.759,3.413,0.367,0.39,0.757,0.124,0.2175,-0.2788,4.5082
Susanna Tapani,78,BOS,C,14,271.0,4,1,3,3,6,2.2191765650012147,0.6642066420664207,0.4698186943380313,0.4698186943380313,0.8856088560885609,0.6175244442749491,0.024700977770997966,0.4913306047973169,0.19383570773268924,0.6851663125300061,0.273,0.875,1.148,1.237,2.135,3.372,0.274,0.474,0.748,0.166,0.2175,-0.2788,4.5082
Sarah Wozniewicz,241,OTT,LW,7,97.55,1,1,1,2,2,2.345216803977201,1.2301383905689391,1.5611968388602713,1.5611968388602713,0.0,0.06731842660021836,0.0026927370640087347,1.4424706123898725,0.5647235990537064,2.007194211443579,1.645,0.918,2.563,1.992,1.371,3.363,0.442,0.304,0.746,0.459,0.2175,-0.2788,4.5082
Kendall Cooper,236,MIN,RD,12,270.5333333333333,1,3,5,9,0,1.5635142139877332,1.996057171020207,1.0619837986720784,1.0619837986720784,0.0,-1.1116914331807386,-0.04446765732722954,0.3467626398691375,0.3378465101947187,0.6846091500638563,-0.379,1.523,1.144,0.583,2.78,3.363,0.129,0.617,0.746,0.165,0.2175,-0.2788,4.5082
Hilary Knight,13,SEA,RW,14,285.1,3,6,1,-2,4,2.716147058310113,-0.42090494563311115,-0.10113561789050934,-0.10113561789050934,2.946334619431778,2.5504687194882782,0.10201874877953113,0.5716198649547765,0.06560992633894777,0.6372297912937243,0.669,0.312,0.981,1.683,1.636,3.319,0.373,0.363,0.736,0.155,0.2175,-0.2788,4.5082
Daryl Watts,63,TOR,RW,4,65.96666666666667,1,1,1,-4,0,4.243966625763891,-3.638201111672562,-2.6026713513543402,-2.6026713513543402,0.0,-0.16056631468181765,-0.006422652587272706,3.8601010239388596,-0.9433843390748352,2.9167166848640242,3.77,-1.037,2.733,4.005,-0.731,3.274,0.888,-0.162,0.726,0.66,0.2175,-0.2788,4.5082
Abby Newhook,259,BOS,RW,13,163.83333333333334,4,1,0,5,2,1.4797929076637346,1.8311291963377414,1.6420130120792291,1.6420130120792291,0.0,-0.26808441181361176,-0.01072337647254447,0.5419383995513168,0.580401307875978,1.1223397074272947,0.304,1.585,1.889,0.886,2.346,3.232,0.197,0.52,0.717,0.263,0.2175,-0.2788,4.5082
Shiann Darkangelo,4,MTL,C,15,224.63333333333333,3,1,0,1,2,3.0652440949821402,0.26710194390859177,-0.042792837883817714,-0.042792837883817714,0.0,-0.5810962980514089,-0.023243851922056358,0.8187326563240618,-0.038649273560230735,0.780083382763831,1.452,-0.145,1.307,2.251,0.899,3.15,0.499,0.199,0.698,0.186,0.2175,-0.2788,4.5082
Taylor Girard,9,NY,LW,7,91.83333333333334,4,0,0,2,30,2.3628787621505003,1.306715063520871,1.2194020475033787,1.2194020475033787,0.0,0.16605351641629928,0.006642140656651972,1.543804635887804,0.4456268777578683,1.9894315136456722,1.704,0.682,2.386,2.03,1.109,3.139,0.45,0.246,0.696,0.455,0.2175,-0.2788,4.5082
Maddi Wheeler,285,NY,LW,11,165.46666666666667,1,3,1,2,10,2.3327722623042875,0.7252215954875101,0.5652073428849766,0.5652073428849766,0.0,0.16605351641629928,0.006642140656651972,0.8458884109886619,0.21011678409524356,1.0560051950839053,1.145,0.579,1.724,1.733,1.348,3.081,0.384,0.299,0.683,0.248,0.2175,-0.2788,4.5082
Kati Tabin,84,MTL,RD,12,252.35,1,3,1,5,6,1.57681376544326,1.1888250445809392,0.83269781828964,0.83269781828964,0.9510600356647514,-0.29905528978406,-0.0119622115913624,0.3749111389997844,0.28780900299290796,0.6627201419926924,-0.235,1.21,0.975,0.662,2.383,3.045,0.147,0.529,0.676,0.161,0.2175,-0.2788,4.5082
Sarah Nurse,75,VAN,C,5,104.3,4,1,1,5,0,0.6492399901618413,2.876318312559923,3.2789385806901516,3.2789385806901516,3.451581975071908,3.269763773809171,0.13079055095236686,0.37348417458974575,1.3112084400008213,1.684692614590567,-0.1,2.279,2.179,0.271,2.764,3.035,0.06,0.613,0.673,0.387,0.2175,-0.2788,4.5082
Lee Stecklein,24,MIN,LD,13,314.48333333333335,0,1,2,9,2,1.0220425851257369,1.7171021251788647,0.7672192286901709,0.7672192286901709,2.0986803752186125,0.9869889420378738,0.039479557681514954,0.1949946105491893,0.31567848000997645,0.5106730905591658,-1.236,1.655,0.419,-0.118,3.116,2.998,-0.026,0.691,0.665,0.127,0.2175,-0.2788,4.5082
Abby Hustler,247,MIN,RW,3,52.93333333333332,0,1,0,2,2,2.413189827061926,2.2670025188916885,1.58174629417879,1.58174629417879,0.0,-0.4426724057833362,-0.01770689623133345,2.735353708256592,0.5517217696730309,3.2870754779296227,2.033,0.487,2.52,2.221,0.733,2.954,0.493,0.163,0.656,0.744,0.2175,-0.2788,4.5082
Raygan Kirk,211,TOR,G,11,627.0666666666667,0,0,0,0,0,0.0,0.0,0.6334268892693452,0.6334268892693452,0.0,-0.16056631468181765,-0.006422652587272706,0.0,0.22161102754969156,0.22161102754969156,-4.502,2.316,-2.186,-2.273,5.23,2.957,-0.504,1.16,0.656,0.063,0.2175,-0.2788,4.5082
Emily Clark,53,OTT,LW,13,228.16666666666666,1,0,0,-4,2,3.7334151775638253,-1.051862673484295,-0.7687959880481643,-0.7687959880481643,0.0,0.06731842660021836,0.0026927370640087347,0.9817600174747825,-0.2740738186333304,0.707686198841452,2.095,-1.042,1.053,2.906,0.018,2.924,0.645,0.004,0.649,0.171,0.2175,-0.2788,4.5082
Jocelyne Larocque,71,OTT,LD,12,279.21666666666664,0,0,4,3,14,1.065107942765455,0.6446606577926342,0.849300346660629,0.849300346660629,1.2893213155852683,0.6876207147880843,0.02750482859152337,0.22887772900111256,0.3332529533893498,0.5621306823904624,-0.94,1.551,0.611,0.053,2.848,2.901,0.012,0.632,0.644,0.138,0.2175,-0.2788,4.5082
Stephanie Markowski,219,OTT,LD,16,270.81666666666666,1,1,1,4,4,0.9522195659043303,0.8862083820542802,1.0889822490121905,1.0889822490121905,0.0,-0.601700600797184,-0.02406802403188736,0.21096624021512642,0.36796558561250126,0.5789318258276277,-0.992,1.661,0.669,-0.029,2.919,2.89,-0.006,0.647,0.641,0.142,0.2175,-0.2788,4.5082
Rory Guilday,242,OTT,RD,13,269.68333333333334,0,3,2,4,10,0.951066842918216,0.889932637043446,1.0927721425213452,1.0927721425213452,0.0,-0.601700600797184,-0.02406802403188736,0.2115963558806982,0.36932994727579693,0.5809263031564951,-0.985,1.66,0.675,-0.026,2.913,2.887,-0.006,0.646,0.64,0.142,0.2175,-0.2788,4.5082
Paetyn Levis,40,NY,RW,12,206.08333333333334,3,0,1,3,4,1.8080900485248614,0.8734330772341286,0.6801396210062851,0.6801396210062851,0.0,0.16605351641629928,0.006642140656651972,0.5264152183331582,0.2514924042189146,0.7779076225520728,0.328,0.864,1.192,1.061,1.821,2.882,0.235,0.404,0.639,0.186,0.2175,-0.2788,4.5082
Anna Kjellbin,200,TOR,RD,15,176.65,1,1,2,4,0,0.6402636367223988,1.3586187376167562,2.0146991080122088,2.0146991080122088,0.0,-0.8295853420792201,-0.0331834136831688,0.21746854346642472,0.6921082652012264,0.9095768086676511,-0.628,2.038,1.41,0.0,2.858,2.858,0.0,0.634,0.634,0.215,0.2175,-0.2788,4.5082
Natalie Buchbinder,90,MIN,RD,15,255.33333333333331,0,0,1,10,4,0.1942393395346784,2.349869451697128,1.384428820858334,1.384428820858334,2.349869451697128,1.2381780185163893,0.04952712074065557,0.0456437090290367,0.5479214962496558,0.5935652052786925,-1.639,2.332,0.693,-0.731,3.518,2.787,-0.162,0.78,0.618,0.145,0.2175,-0.2788,4.5082
Taylor Girard,9,NY,RW,6,87.61666666666667,1,1,0,1,0,2.3628787621505003,0.6848012174243865,0.605227710022413,0.605227710022413,0.0,0.16605351641629928,0.006642140656651972,1.6181022529468898,0.22452411626472066,1.8426263692116105,1.734,0.328,2.062,2.045,0.735,2.78,0.454,0.163,0.617,0.423,0.2175,-0.2788,4.5082
Sarah Fillier,205,NY,LW,6,114.9,1,1,0,-2,0,3.3946037192503455,-1.0443864229765012,-1.1078619898119006,-1.1078619898119006,0.0,0.16605351641629928,0.006642140656651972,1.7726390178852978,-0.39218817567563224,1.3804508422096655,2.57,-0.751,1.819,2.978,-0.217,2.761,0.661,-0.048,0.613,0.32,0.2175,-0.2788,4.5082
Blayre Turnbull,76,TOR,C,16,288.7,4,4,0,-3,6,2.389700785533873,-0.6234845860755109,0.06167754651135582,0.06167754651135582,0.0,-0.16056631468181765,-0.006422652587272706,0.4966472017043034,0.015781264156815387,0.5124284658611188,0.317,0.076,0.393,1.343,1.417,2.76,0.298,0.314,0.612,0.127,0.2175,-0.2788,4.5082
Shay Maloney,183,BOS,RW,9,140.78333333333333,1,0,1,3,2,1.7021576486933607,1.27856043565763,1.1085591322179376,1.1085591322179376,0.0,-0.26808441181361176,-0.01072337647254447,0.7254371416237835,0.38835791112591306,1.1137950527496965,0.691,0.911,1.602,1.192,1.565,2.757,0.264,0.347,0.611,0.26,0.2175,-0.2788,4.5082
Abby Roque,42,MTL,LW,14,285.0333333333333,5,4,3,2,27,2.400664181538234,0.4210033914162087,0.07846321368340359,0.07846321368340359,0.0,-0.5810962980514089,-0.023243851922056358,0.5053438810395067,0.005002905003968931,0.5103467860434756,0.354,0.024,0.378,1.368,1.348,2.716,0.303,0.299,0.602,0.127,0.2175,-0.2788,4.5082
Peyton Hemp,286,OTT,RW,16,205.11666666666667,0,4,0,1,23,1.8443179913031165,0.29251645405054033,0.5295126630778735,0.5295126630778735,0.0,0.06731842660021836,0.0026927370640087347,0.5394933589576029,0.19331729577204318,0.732810654729646,0.372,0.661,1.033,1.101,1.614,2.715,0.244,0.358,0.602,0.176,0.2175,-0.2788,4.5082
Ella Huber,243,BOS,RW,5,69.7,0,0,0,-1,0,2.9961236311388966,-0.860832137733142,-0.8377330321545027,-0.8377330321545027,0.0,-0.26808441181361176,-0.01072337647254447,2.5791595103060803,-0.3123072680481654,2.2668522422579147,2.496,-0.363,2.133,2.743,-0.039,2.704,0.608,-0.009,0.599,0.516,0.2175,-0.2788,4.5082
Theresa Schafzahl,17,BOS,LW,11,167.56666666666666,1,2,1,4,0,1.19302288778431,1.4322657648697037,1.2311954647233319,1.2311954647233319,1.0741993236522778,0.806114911838666,0.03224459647354664,0.4271814597198644,0.4754749637739461,0.9026564234938105,-0.01,1.328,1.318,0.586,2.106,2.692,0.13,0.467,0.597,0.214,0.2175,-0.2788,4.5082
Alex Carpenter,34,SEA,C,14,284.93333333333334,5,1,3,-3,2,2.9962248492505275,-0.6317267197005147,-0.30577893050963584,-0.30577893050963584,0.0,-0.39586589994349974,-0.01583463599773999,0.6309317651674017,-0.1259150509812089,0.5050167141861928,0.95,-0.598,0.352,1.963,0.726,2.689,0.435,0.161,0.596,0.126,0.2175,-0.2788,4.5082
Paetyn Levis,40,NY,LW,4,65.48333333333333,0,2,0,2,4,1.8080900485248614,1.8325273606515653,1.7569732130722022,1.7569732130722022,0.0,0.16605351641629928,0.006642140656651972,1.6566872422218124,0.6391524973626447,2.295839739584457,1.338,0.698,2.036,1.571,1.002,2.573,0.348,0.222,0.57,0.522,0.2175,-0.2788,4.5082
Jill Saulnier,149,BOS,LW,12,149.41666666666666,1,3,0,1,8,2.1504034755771,0.4015616285554936,0.24594422883418493,0.24594422883418493,0.0,-0.26808441181361176,-0.01072337647254447,0.8635195217041339,0.0778165459077621,0.941336067611896,1.078,0.194,1.272,1.609,0.888,2.497,0.357,0.197,0.554,0.222,0.2175,-0.2788,4.5082
Jenn Gardiner,198,VAN,LW,14,251.61666666666667,3,2,3,-3,0,2.6448439259092638,-0.71537391534742,-0.2859613857868727,-0.2859613857868727,0.0,-0.18181820126273718,-0.007272728050509487,0.6306841182535172,-0.11021882693378365,0.5204652913197336,0.838,-0.462,0.376,1.733,0.707,2.44,0.384,0.157,0.541,0.129,0.2175,-0.2788,4.5082
Natálie Mlýnková,274,MTL,LW,11,164.21666666666667,4,1,1,2,0,1.8667087217361282,0.7307419060184716,0.4066081058815344,0.4066081058815344,0.0,-0.5810962980514089,-0.023243851922056358,0.6820411446513815,0.12313506619529602,0.8051762108466776,0.688,0.337,1.025,1.272,1.1,2.372,0.282,0.244,0.526,0.192,0.2175,-0.2788,4.5082
Tereza Vanišová,161,VAN,LW,11,178.18333333333334,0,2,1,0,2,1.7008169905453272,0.0,0.42337438381525294,0.42337438381525294,0.0,-0.18181820126273718,-0.007272728050509487,0.5727192185916357,0.14514205012298156,0.7178612687146172,0.421,0.431,0.852,1.055,1.259,2.314,0.234,0.279,0.513,0.173,0.2175,-0.2788,4.5082
Ella Huber,243,BOS,LW,9,129.95000000000002,1,1,1,-2,4,2.9961236311388966,-0.9234320892651018,-1.0248983968443683,-1.0248983968443683,0.0,-0.26808441181361176,-0.01072337647254447,1.3833583521995672,-0.37968679933651706,1.0036715528630502,2.063,-0.822,1.241,2.525,-0.219,2.306,0.56,-0.049,0.511,0.236,0.2175,-0.2788,4.5082
Gabby Rosenthal,227,VAN,C,16,255.35,1,0,1,0,10,1.4445526699102795,0.0,0.39907276032243577,0.39907276032243577,0.0,-0.18181820126273718,-0.007272728050509487,0.33942886310795684,0.13639346566556737,0.4758223287735242,-0.389,0.58,0.191,0.519,1.767,2.286,0.115,0.392,0.507,0.119,0.2175,-0.2788,4.5082
Maggie Connors,66,TOR,LW,14,187.23333333333335,1,0,1,-3,2,2.306126436872491,-0.9613672779063556,-0.2509582984295985,-0.2509582984295985,0.3204557593021185,0.15988944462030086,0.006395577784812034,0.7390114983746633,-0.08394940964984342,0.6550620887248199,0.962,-0.262,0.7,1.628,0.608,2.236,0.361,0.135,0.496,0.159,0.2175,-0.2788,4.5082
Lexie Adzija,49,SEA,RW,11,164.03333333333333,3,0,0,1,2,1.4379279268769527,0.3657793131477342,0.6807927451569311,0.6807927451569311,0.0,-0.39586589994349974,-0.01583463599773999,0.5259642894489971,0.2292507522587552,0.7552150417077523,0.26,0.627,0.887,0.843,1.389,2.232,0.187,0.308,0.495,0.181,0.2175,-0.2788,4.5082
Ronja Savolainen,223,OTT,RD,15,331.81666666666666,3,1,1,-2,2,2.2657047799329124,-0.36164548696569393,-0.13817066488820065,-0.13817066488820065,0.0,-0.601700600797184,-0.02406802403188736,0.4096909542296692,-0.0738094633916396,0.33588149083802965,-0.117,-0.408,-0.525,1.063,1.133,2.196,0.236,0.251,0.487,0.088,0.2175,-0.2788,4.5082
Claire Dalton,26,TOR,RW,15,208.4,0,4,0,0,4,1.0858115702994342,0.0,0.6659915459600322,0.6659915459600322,0.5758157389635317,0.415249424281714,0.01660997697126856,0.3126136958635607,0.2563669335168801,0.5689806293804408,-0.41,0.89,0.48,0.33,1.859,2.189,0.073,0.412,0.485,0.14,0.2175,-0.2788,4.5082
Jessie Eldridge,36,SEA,RW,14,234.6833333333333,5,2,3,-1,4,1.8831865324440102,-0.25566366025140264,0.05471405037238483,0.05471405037238483,0.0,-0.39586589994349974,-0.01583463599773999,0.48146236182078245,0.0038624221363185475,0.485324783957101,0.198,0.015,0.213,1.033,1.105,2.138,0.229,0.245,0.474,0.121,0.2175,-0.2788,4.5082
Ella Shelton,44,TOR,LD,14,353.68333333333334,1,0,2,-4,6,1.9181915755243968,-0.6785731115404552,-0.011248763761933733,-0.011248763761933733,0.0,-0.8295853420792201,-0.0331834136831688,0.3254083064835695,-0.03723296863746495,0.28817533784610455,-0.621,-0.219,-0.84,0.636,1.424,2.06,0.141,0.316,0.457,0.078,0.2175,-0.2788,4.5082
Mae Batherson,188,MIN,LD,15,296.05,2,3,5,7,2,1.1232153298515841,1.4186792771491301,0.4721970527065047,0.4721970527065047,0.0,-1.1116914331807386,-0.04446765732722954,0.22764033031952388,0.12552328164711213,0.35316361196663604,-1.002,0.619,-0.383,0.05,1.995,2.045,0.011,0.443,0.454,0.092,0.2175,-0.2788,4.5082
Britta Curl-Salemme,189,MIN,LW,3,51.5,2,0,0,-1,2,2.5734520298128136,-1.1650485436893203,-1.822924692995533,-1.822924692995533,0.0,-0.4426724057833362,-0.01770689623133345,2.9981965395877443,-0.6739597857097254,2.324236753878019,2.204,-0.578,1.626,2.387,-0.339,2.048,0.529,-0.075,0.454,0.529,0.2175,-0.2788,4.5082
Emerance Maschmeyer,59,VAN,G,11,655.5833333333333,0,0,0,0,0,0.0,0.0,0.36371479442306265,0.36371479442306265,0.0,-0.18181820126273718,-0.007272728050509487,0.0,0.12366459794179305,0.12366459794179305,-4.707,1.351,-3.356,-2.376,4.397,2.021,-0.527,0.975,0.448,0.041,0.2175,-0.2788,4.5082
Jincy Roese,60,NY,LD,14,238.53333333333333,0,4,1,4,4,0.7397390194553447,1.0061486864169926,0.7774020023056294,0.7774020023056294,0.0,-0.5029655109811031,-0.020118620439244124,0.18607186067909734,0.25974610039078244,0.4458179610698798,-0.973,1.033,0.06,-0.125,2.141,2.016,-0.028,0.475,0.447,0.112,0.2175,-0.2788,4.5082
Elle Hartje,206,NY,C,5,65.65,0,1,1,2,4,1.2431197647419732,1.8278750952018277,1.6980954181279404,1.6980954181279404,0.0,0.16605351641629928,0.006642140656651972,1.136133829162504,0.6179564911827105,1.7540903203452145,0.772,0.676,1.448,1.005,0.981,1.986,0.223,0.218,0.441,0.403,0.2175,-0.2788,4.5082
Dara Greig,199,MTL,LW,15,177.18333333333334,1,1,1,4,6,0.7975448538066721,1.3545292070360266,0.9874812474433864,0.9874812474433864,0.0,-0.5810962980514089,-0.023243851922056358,0.27007444960060384,0.33224939715756274,0.6023238467581666,-0.475,0.981,0.506,0.155,1.804,1.959,0.034,0.4,0.434,0.147,0.2175,-0.2788,4.5082
Claire Thompson,169,VAN,LD,14,304.54999999999995,2,3,2,0,6,1.1043461029403074,0.0,0.3863787835228358,0.3863787835228358,0.0,-0.8508372286601396,-0.03403348914640558,0.21756941775215385,0.10506287292181529,0.32263229067396915,-1.082,0.533,-0.549,0.001,1.948,1.949,0.0,0.432,0.432,0.085,0.2175,-0.2788,4.5082
