GameID,Season,SeasonStage,Team,PlayerID,Name,position,TOI,EV_ixG,PP_ixG,SH_ixG,EV_G,PP_G,SH_G,EN_G,EV_A1,EV_A2,PP_A1,PP_A2,SH_A1,SH_A2,plusMinus,PIM,hits,EV_Shots,EV_SA,EV_xGA,EV_GA,PP_GA,SH_GA,Faceoffs,faceoffWins
228,20252026,Regular,BOS,246,Haley Winn,RD,26.85,0.102068,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0
228,20252026,Regular,BOS,18,Sophie Shirley,RW,8.7,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
228,20252026,Regular,BOS,15,Alina Müller,C,19.3,0.282786,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,10,7
228,20252026,Regular,BOS,97,Liz Schepers,C,13.8,0.254238,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,9,4
228,20252026,Regular,BOS,255,Riley Brengman,RD,13.75,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
228,20252026,Regular,BOS,17,Theresa Schafzahl,LW,16.183333333333334,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
228,20252026,Regular,BOS,259,Abby Newhook,RW,14.6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,20252026,Regular,BOS,1,Hannah Brandt,C,6.65,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10
228,20252026,Regular,BOS,212,Laura Kluge,LW,9.066666666666666,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,20252026,Regular,BOS,243,Ella Huber,LW,13.266666666666667,0.262044,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0
228,20252026,Regular,BOS,183,Shay Maloney,RW,13.85,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
228,20252026,Regular,BOS,149,Jill Saulnier,LW,9.716666666666667,0.15310200000000002,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0
228,20252026,Regular,BOS,16,Jamie Lee Rattray,RW,11.566666666666666,0.051034,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0
228,20252026,Regular,BOS,232,Rylind MacKinnon,LD,8.25,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
228,20252026,Regular,BOS,185,Daniela Pejšová,LD,8.65,0.102068,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
228,20252026,Regular,BOS,78,Susanna Tapani,C,15.8,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,8,3
228,20252026,Regular,BOS,6,Aerin Frankel,G,60.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,20252026,Regular,BOS,41,Abbey Levy,G,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,20252026,Regular,SEA,62,Aneta Tejralová,RD,13.966666666666667,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0
229,20252026,Regular,SEA,196,Cayla Barnes,RD,21.95,0.239558,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
229,20252026,Regular,SEA,203,Anna Wilgren,LD,18.583333333333332,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
229,20252026,Regular,SEA,291,Lily Delianedis,LW,7.05,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,1,0
229,20252026,Regular,SEA,36,Jessie Eldridge,RW,15.066666666666666,0.282786,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
229,20252026,Regular,SEA,237,Jenna Buglioni,C,8.15,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,8,3
229,20252026,Regular,SEA,2,Emily Brown,RD,19.183333333333334,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
229,20252026,Regular,SEA,138,Mikyla Grant-Mentis,C,12.783333333333333,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1
229,20252026,Regular,SEA,91,Brooke Bryant,RW,8.516666666666667,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
229,20252026,Regular,SEA,181,Hannah Bilka,LW,21.05,0.38042200000000004,0.0,0.0,0,0,0,1,0,0,1,1,0,0,1,0,1,3,0,0,0,0,0,0,0
229,20252026,Regular,SEA,99,Mariah Keopple,LD,16.583333333333332,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
229,20252026,Regular,SEA,13,Hilary Knight,RW,18.216666666666665,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0
229,20252026,Regular,SEA,294,Lyndie Lobdell,RD,2.966666666666667,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
229,20252026,Regular,SEA,34,Alex Carpenter,C,15.966666666666667,0.414214,0.0,0.0,1,1,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,18,11
229,20252026,Regular,SEA,208,Megan Carter,LD,17.666666666666668,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
229,20252026,Regular,SEA,295,Marah Wagner,LW,13.583333333333334,0.145296,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
229,20252026,Regular,SEA,49,Lexie Adzija,RW,13.733333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
229,20252026,Regular,SEA,210,Julia Gosling,LW,18.016666666666666,0.34500000000000003,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0
229,20252026,Regular,SEA,224,Danielle Serdachny,C,18.983333333333334,0.102068,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,14,7
229,20252026,Regular,SEA,155,Corinne Schroeder,G,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,20252026,Regular,SEA,250,Hannah Murphy,G,60.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,20252026,Regular,OTT,71,Jocelyne Larocque,LD,24.6,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
229,20252026,Regular,OTT,242,Rory Guilday,RD,19.116666666666667,0.051034,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0
229,20252026,Regular,OTT,219,Stephanie Markowski,LD,17.816666666666666,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
229,20252026,Regular,OTT,289,Kathryn Reilly,RD,0.18333333333333332,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,20252026,Regular,OTT,101,Alexa Vasko,C,8.55,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5
229,20252026,Regular,OTT,38,Brooke Hobson,LD,15.866666666666667,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,20252026,Regular,OTT,88,Kateřina Mrázová,C,19.25,0.188524,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-2,2,1,2,0,0,0,0,0,8,3
229,20252026,Regular,OTT,220,Mannon McMahon,C,13.1,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,11,7
229,20252026,Regular,OTT,58,Brianne Jenner,C,21.133333333333333,0.247364,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,22,12
229,20252026,Regular,OTT,217,Taylor House,LW,8.05,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
229,20252026,Regular,OTT,241,Sarah Wozniewicz,RW,16.533333333333335,0.239558,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
229,20252026,Regular,OTT,53,Emily Clark,LW,16.216666666666665,0.145296,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-2,0,1,2,0,0,0,0,0,0,0
229,20252026,Regular,OTT,286,Peyton Hemp,RW,14.566666666666666,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,0,0,0,1,1
229,20252026,Regular,OTT,72,Rebecca Leslie,RW,20.183333333333334,0.21101,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
229,20252026,Regular,OTT,108,Samantha Isbell,RD,15.35,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
229,20252026,Regular,OTT,240,Fanuza Kadirova,RW,8.866666666666667,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
229,20252026,Regular,OTT,223,Ronja Savolainen,RD,20.083333333333332,0.33382,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,2,4,0,0,0,0,0,0,0
229,20252026,Regular,OTT,221,Anna Meixner,LW,18.066666666666666,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
229,20252026,Regular,OTT,239,Anna Shokhina,LW,14.5,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
229,20252026,Regular,OTT,238,Sanni Ahola,G,60.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,20252026,Regular,OTT,222,Gwyneth Philips,G,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,20252026,Regular,MIN,24,Lee Stecklein,LD,25.85,0.051034,0.0,0.0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
230,20252026,Regular,MIN,236,Kendall Cooper,RD,20.183333333333334,0.102068,0.0,0.0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
230,20252026,Regular,MIN,167,Sidney Morin,LD,19.866666666666667,0.102068,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,2,0,0,0,0,0,0,0
230,20252026,Regular,MIN,191,Katy Knoll,RW,15.516666666666667,0.337194,0.0,0.0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,1,1
230,20252026,Regular,MIN,102,Claire Butorac,RW,9.4,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
230,20252026,Regular,MIN,23,Kelly Pannek,C,16.083333333333332,0.159976,0.0,0.0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,18,15
230,20252026,Regular,MIN,25,Grace Zumwinkle,RW,15.433333333333334,0.282786,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,3,0,0,0,0,0,0,0
230,20252026,Regular,MIN,195,Dominique Petrie,C,15.9,0.34850000000000003,0.0,0.0,1,0,0,0,0,0,0,0,0,0,-1,2,3,3,0,0,0,0,0,9,7
230,20252026,Regular,MIN,264,Brooke Becker,RD,14.666666666666666,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,0
230,20252026,Regular,MIN,188,Mae Batherson,LD,19.083333333333332,0.094262,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
230,20252026,Regular,MIN,90,Natalie Buchbinder,RD,18.95,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
230,20252026,Regular,MIN,269,Vanessa Upson,C,0.55,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,20252026,Regular,MIN,20,Kendall Coyne Schofield,LW,16.0,0.35630600000000007,0.0,0.0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0
230,20252026,Regular,MIN,21,Taylor Heise,C,15.616666666666667,0.145296,0.0,0.0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,17,7
230,20252026,Regular,MIN,104,Denisa Křížová,LW,13.583333333333334,0.282786,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1
230,20252026,Regular,MIN,190,Klára Hymlárová,C,8.916666666666666,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2
230,20252026,Regular,MIN,247,Abby Hustler,LW,12.666666666666666,0.051034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
230,20252026,Regular,MIN,189,Britta Curl-Salemme,RW,17.2,0.191898,0.0,0.0,1,0,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0
230,20252026,Regular,MIN,263,Peyton Anderson,LW,10.783333333333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
230,20252026,Regular,MIN,22,Nicole Hensley,G,60.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,20252026,Regular,MIN,123,Maddie Rooney,G,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,20252026,Regular,BOS,52,Zoe Boyd,LD,14.5,0.145296,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0
230,20252026,Regular,BOS,12,Megan Keller,LD,28.316666666666666,0.102068,0.0,0.0,0,0,0,0,0,1,0,0,0,0,-2,0,1,2,0,0,0,0,0,0,0
230,20252026,Regular,BOS,182,Hadley Hartmetz,RD,11.316666666666666,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
230,20252026,Regular,BOS,246,Haley Winn,RD,30.883333333333333,0.102068,0.0,0.0,0,0,0,0,1,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0
230,20252026,Regular,BOS,18,Sophie Shirley,RW,11.116666666666667,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,3,0,0,0,0,0,0,0,0
230,20252026,Regular,BOS,15,Alina Müller,C,23.166666666666668,0.43588800000000005,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,9,5
230,20252026,Regular,BOS,97,Liz Schepers,C,11.183333333333334,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-2,0,0,1,0,0,0,0,0,11,2
230,20252026,Regular,BOS,256,Olivia Mobley,RW,10.083333333333334,0.159976,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
230,20252026,Regular,BOS,255,Riley Brengman,RD,19.983333333333334,0.262044,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
230,20252026,Regular,BOS,17,Theresa Schafzahl,LW,13.75,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
230,20252026,Regular,BOS,259,Abby Newhook,RW,9.833333333333334,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,20252026,Regular,BOS,1,Hannah Brandt,C,11.466666666666667,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,9,5
230,20252026,Regular,BOS,212,Laura Kluge,LW,10.166666666666666,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
230,20252026,Regular,BOS,243,Ella Huber,LW,15.766666666666667,0.377048,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-2,0,1,4,0,0,0,0,0,1,1
230,20252026,Regular,BOS,183,Shay Maloney,RW,12.55,0.145296,0.0,0.0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,5,3
230,20252026,Regular,BOS,149,Jill Saulnier,LW,10.6,0.094262,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
230,20252026,Regular,BOS,16,Jamie Lee Rattray,RW,8.566666666666666,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0
230,20252026,Regular,BOS,185,Daniela Pejšová,LD,9.1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
230,20252026,Regular,BOS,78,Susanna Tapani,C,17.9,0.145296,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,0,0,2,0,0,0,0,0,13,0
