name,player_id,team,pos,gp,toi_min,ixG,FA,ixG60,FA60,FA60_resid,d_adj_FA60,blocks60,blocks60_adj,block_val60,d_value60,value60,oGAR,dGAR,GAR,oWAR,dWAR,WAR,war60
Megan Carter,208,TOR,LD,23,376.3666666666667,1.1740000000000002,33.439942425060174,0.18715791338233995,5.3309623917375175,-0.0924124080649037,-0.09241240806490371,3.347799132052077,0.05127553216968974,0.0020510212867875894,0.005655105201318834,0.1928130185836588,-0.686,0.167,-0.519,-0.14,0.034,-0.106,-0.017
Emily Brown,2,BOS,LD,29,520.7666666666667,1.378,52.68176087515489,0.15876592203802084,6.069715776437228,0.06125873436607926,0.061258734366079245,4.493375152019459,1.4673192749805828,0.058692770999223313,0.05630368035894622,0.21506960239696707,-1.196,0.671,-0.525,-0.244,0.137,-0.107,-0.012
Natalie Buchbinder,90,MIN,RD,27,455.3833333333333,1.4809999999999999,37.08968183350111,0.19513230611572666,4.8868299454892945,-0.1333745059463055,-0.1333745059463055,2.7668996815869416,0.12314735498940121,0.0049258941995760485,0.010127499931481963,0.20525980604720861,-0.77,0.236,-0.534,-0.157,0.048,-0.109,-0.014
Ashton Bell,50,OTT,RD,35,735.5166666666667,2.8620000000000005,70.17922345253825,0.23346853685617824,5.724891899778789,-0.03549150075554855,-0.03549150075554856,2.6104099159321112,-0.10942778889368843,-0.004377111555747537,-0.0029929430262811427,0.2304755938298971,-0.773,0.221,-0.552,-0.158,0.045,-0.113,-0.009
Daniela Pejšová,185,BOS,LD,28,345.0333333333333,1.3800000000000001,32.95557958729776,0.2399768138344122,5.730851440163847,-0.27509623423417323,-0.27509623423417323,1.0433774514539658,-1.9826784255849101,-0.07930713702339641,-0.06857838388826365,0.17139842994614854,-0.325,-0.274,-0.599,-0.066,-0.056,-0.122,-0.021
Jincy Roese,60,OTT,LD,28,592.4166666666667,2.5540000000000003,58.76703824402081,0.25866929244619496,5.951929601307494,0.1923248889517639,0.1923248889517639,1.721761147840765,-0.9980765569850346,-0.039923062279401386,-0.047423732948520175,0.2112455594976748,-0.374,-0.261,-0.635,-0.076,-0.053,-0.129,-0.013
Stephanie Markowski,219,OTT,LD,35,481.35,1.6609999999999998,48.54093495382348,0.2070426924275475,6.050599557971141,0.28939961475050335,0.28939961475050335,2.4929884699283265,-0.22684923489747322,-0.00907396939589893,-0.02036055437116856,0.18668213805637893,-0.718,0.005,-0.713,-0.147,0.001,-0.146,-0.018
Zoe Boyd,52,OTT,LD,31,464.6166666666666,1.6600000000000001,41.752126401490095,0.21437026939771142,5.391816014828151,-0.36915751067480773,-0.36915751067480773,1.2913871650464543,-1.428450539779345,-0.0571380215911738,-0.0427408786748563,0.17162939072285513,-0.636,-0.168,-0.804,-0.13,-0.034,-0.164,-0.021
Amanda Boulier,51,MTL,RD,29,485.04999999999995,1.38,45.885518659266396,0.17070405112874962,5.675973857449715,-0.0033908614344430286,-0.00339086143444304,3.8346562210081436,0.11828024682740867,0.004731209873096347,0.004863453469039626,0.17556750459778925,-1.017,0.209,-0.808,-0.208,0.043,-0.165,-0.02
Allie Munroe,74,TOR,RD,34,653.4333333333334,2.07,59.76181901753023,0.19007294801816044,5.487490395937071,0.06420566895024604,0.06420566895024603,3.5810845278783856,0.2845609279959983,0.011382437119839932,0.008878416030780337,0.19895136404894076,-1.16,0.325,-0.835,-0.237,0.066,-0.171,-0.016
Sydney Bard,180,BOS,RD,27,465.75000000000006,1.123,47.251858169872825,0.14466988727858293,6.087195899500524,0.0783032984401541,0.07830329844015409,3.349436392914653,0.32338051587577726,0.012935220635031091,0.009881391995865081,0.154551279274448,-1.179,0.24,-0.939,-0.241,0.049,-0.192,-0.025
Mellissa Channell-Watkins,129,MIN,LD,37,711.2333333333332,2.579,59.72999632483003,0.21756573089000333,5.038852387153493,0.01934111504003655,0.01934111504003654,2.109012513474247,-0.5347398131232933,-0.021389592524931732,-0.022143896011493157,0.19542183487851017,-0.936,-0.014,-0.95,-0.191,-0.003,-0.194,-0.016
Mae Batherson,188,MIN,RD,27,414.65000000000003,1.456,35.98322953304504,0.2106837091522971,5.206785896497534,0.1870619740548879,0.1870619740548879,1.012902447847582,-1.6308498787499581,-0.06523399514999832,-0.07252941213813895,0.13815429701415816,-0.593,-0.356,-0.949,-0.121,-0.073,-0.194,-0.028
Savannah Harmon,56,TOR,LD,28,649.2166666666667,2.2989999999999995,55.03129257761636,0.212471439940441,5.0859408332970215,-0.3366517937717589,-0.3366517937717589,1.848381382691962,-1.4481422171904252,-0.05792568868761701,-0.04479626873051841,0.1676751712099226,-0.91,-0.258,-1.168,-0.186,-0.053,-0.239,-0.022
Lee Stecklein,24,MIN,LD,38,923.3000000000001,2.988,77.34739445781786,0.19417307484024693,5.026365934657284,0.006131843552663718,0.006131843552663707,2.664356113939131,0.02060378734159085,0.000824151493663634,0.0005850095951097495,0.19475808443535667,-1.575,0.332,-1.243,-0.322,0.068,-0.254,-0.017
Aneta Tejralová,62,OTT,LD,38,791.1999999999999,2.324,75.76965277441802,0.1762386248736097,5.745929179050912,-0.016222591315209228,-0.01622259131520924,2.8058645096056627,0.08602680477986302,0.003441072191194521,0.004073753252487681,0.18031237812609738,-1.587,0.33,-1.257,-0.324,0.067,-0.257,-0.019
Jocelyne Larocque,71,OTT,RD,32,768.1666666666666,2.555,70.05555179218672,0.19956606639184207,5.471902504922374,-0.2895284615423517,-0.2895284615423517,1.7964851377739206,-0.9233525670518791,-0.036934102682075164,-0.025642492681923448,0.17392357370991862,-1.242,-0.06,-1.302,-0.254,-0.012,-0.266,-0.021
